X(mm),Y(mm),Z(mm)
0.000000,63.500000,0.000000
0.098544,63.500000,0.000000
0.197087,63.500000,0.000000
0.295631,63.500000,0.000000
0.394174,63.500000,0.000000
0.492718,63.500000,0.000000
0.591261,63.500000,0.000000
0.689805,63.500000,0.000000
0.788349,63.500000,0.000000
0.886892,63.500000,0.000000
0.985436,63.500000,0.000000
1.083979,63.500000,0.000000
1.182523,63.500000,0.000000
1.281067,63.500000,0.000000
1.379610,63.500000,0.000000
1.478154,63.500000,0.000000
1.576697,63.500000,0.000000
1.675241,63.500000,0.000000
1.773784,63.500000,0.000000
1.872328,63.500000,0.000000
1.970872,63.500000,0.000000
2.069415,63.500000,0.000000
2.167959,63.500000,0.000000
2.266502,63.500000,0.000000
2.365046,63.500000,0.000000
2.463589,63.500000,0.000000
2.562133,63.500000,0.000000
2.660677,63.500000,0.000000
2.759220,63.500000,0.000000
2.857764,63.500000,0.000000
2.956307,63.500000,0.000000
3.054851,63.500000,0.000000
3.153394,63.500000,0.000000
3.251938,63.500000,0.000000
3.350482,63.500000,0.000000
3.449025,63.500000,0.000000
3.547569,63.500000,0.000000
3.646112,63.500000,0.000000
3.744656,63.500000,0.000000
3.843200,63.500000,0.000000
3.941743,63.500000,0.000000
4.040287,63.500000,0.000000
4.138830,63.500000,0.000000
4.237374,63.500000,0.000000
4.335917,63.500000,0.000000
4.434461,63.500000,0.000000
4.533005,63.500000,0.000000
4.631548,63.500000,0.000000
4.730092,63.500000,0.000000
4.828635,63.500000,0.000000
4.927179,63.500000,0.000000
5.025722,63.500000,0.000000
5.124266,63.500000,0.000000
5.222810,63.500000,0.000000
5.321353,63.500000,0.000000
5.419897,63.500000,0.000000
5.518440,63.500000,0.000000
5.616984,63.500000,0.000000
5.715528,63.500000,0.000000
5.814071,63.500000,0.000000
5.912615,63.500000,0.000000
6.011158,63.500000,0.000000
6.109702,63.500000,0.000000
6.208245,63.500000,0.000000
6.306789,63.500000,0.000000
6.405333,63.500000,0.000000
6.503876,63.500000,0.000000
6.602420,63.500000,0.000000
6.700963,63.500000,0.000000
6.799507,63.500000,0.000000
6.898050,63.500000,0.000000
6.996594,63.500000,0.000000
7.095138,63.500000,0.000000
7.193681,63.500000,0.000000
7.292225,63.500000,0.000000
7.390768,63.500000,0.000000
7.489312,63.500000,0.000000
7.587855,63.500000,0.000000
7.686399,63.500000,0.000000
7.784943,63.500000,0.000000
7.883486,63.500000,0.000000
7.982030,63.500000,0.000000
8.080573,63.500000,0.000000
8.179117,63.500000,0.000000
8.277661,63.500000,0.000000
8.376204,63.500000,0.000000
8.474748,63.500000,0.000000
8.573291,63.500000,0.000000
8.671835,63.500000,0.000000
8.770378,63.500000,0.000000
8.868922,63.500000,0.000000
8.967466,63.500000,0.000000
9.066009,63.500000,0.000000
9.164553,63.500000,0.000000
9.263096,63.500000,0.000000
9.361640,63.500000,0.000000
9.460183,63.500000,0.000000
9.558727,63.500000,0.000000
9.657271,63.500000,0.000000
9.755814,63.500000,0.000000
9.854358,63.500000,0.000000
9.952901,63.500000,0.000000
10.051445,63.500000,0.000000
10.149989,63.500000,0.000000
10.248532,63.500000,0.000000
10.347076,63.500000,0.000000
10.445619,63.500000,0.000000
10.544163,63.500000,0.000000
10.642706,63.500000,0.000000
10.741250,63.500000,0.000000
10.839794,63.500000,0.000000
10.938337,63.500000,0.000000
11.036881,63.500000,0.000000
11.135424,63.500000,0.000000
11.233968,63.500000,0.000000
11.332511,63.500000,0.000000
11.431055,63.500000,0.000000
11.529599,63.500000,0.000000
11.628142,63.500000,0.000000
11.726686,63.500000,0.000000
11.825229,63.500000,0.000000
11.923773,63.500000,0.000000
12.022316,63.500000,0.000000
12.120860,63.500000,0.000000
12.219404,63.500000,0.000000
12.317947,63.500000,0.000000
12.416491,63.500000,0.000000
12.515034,63.500000,0.000000
12.613578,63.500000,0.000000
12.712122,63.500000,0.000000
12.810665,63.500000,0.000000
12.909209,63.500000,0.000000
13.007752,63.500000,0.000000
13.106296,63.500000,0.000000
13.204839,63.500000,0.000000
13.303383,63.500000,0.000000
13.401927,63.500000,0.000000
13.500470,63.500000,0.000000
13.599014,63.500000,0.000000
13.697557,63.500000,0.000000
13.796101,63.500000,0.000000
13.894644,63.500000,0.000000
13.993188,63.500000,0.000000
14.091732,63.500000,0.000000
14.190275,63.500000,0.000000
14.288819,63.500000,0.000000
14.387362,63.500000,0.000000
14.485906,63.500000,0.000000
14.584450,63.500000,0.000000
14.682993,63.500000,0.000000
14.781537,63.500000,0.000000
14.880080,63.500000,0.000000
14.978624,63.500000,0.000000
15.077167,63.500000,0.000000
15.175711,63.500000,0.000000
15.274255,63.500000,0.000000
15.372798,63.500000,0.000000
15.471342,63.500000,0.000000
15.569885,63.500000,0.000000
15.668429,63.500000,0.000000
15.766972,63.500000,0.000000
15.865516,63.500000,0.000000
15.964060,63.500000,0.000000
16.062603,63.500000,0.000000
16.161147,63.500000,0.000000
16.259690,63.500000,0.000000
16.358234,63.500000,0.000000
16.456777,63.500000,0.000000
16.555321,63.500000,0.000000
16.653865,63.500000,0.000000
16.752408,63.500000,0.000000
16.850952,63.500000,0.000000
16.949495,63.500000,0.000000
17.048039,63.500000,0.000000
17.146583,63.500000,0.000000
17.245126,63.500000,0.000000
17.343670,63.500000,0.000000
17.442213,63.500000,0.000000
17.540757,63.500000,0.000000
17.639300,63.500000,0.000000
17.737844,63.500000,0.000000
17.836388,63.500000,0.000000
17.934931,63.500000,0.000000
18.033475,63.500000,0.000000
18.132018,63.500000,0.000000
18.230562,63.500000,0.000000
18.329105,63.500000,0.000000
18.427649,63.500000,0.000000
18.526193,63.500000,0.000000
18.624736,63.500000,0.000000
18.723280,63.500000,0.000000
18.821823,63.500000,0.000000
18.920367,63.500000,0.000000
19.018911,63.500000,0.000000
19.117454,63.500000,0.000000
19.215998,63.500000,0.000000
19.314541,63.500000,0.000000
19.413085,63.500000,0.000000
