X(mm),Y(mm),Z(mm)
-106.981441,-469.018253,0.000000
-106.976643,-469.013455,0.000000
-106.971845,-469.008657,0.000000
-106.967047,-469.003859,0.000000
-106.962249,-468.999061,0.000000
-106.957451,-468.994263,0.000000
-106.952653,-468.989465,0.000000
-106.947855,-468.984667,0.000000
-106.943057,-468.979869,0.000000
-106.938259,-468.975071,0.000000
-106.933461,-468.970273,0.000000
-106.928663,-468.965475,0.000000
-106.923865,-468.960677,0.000000
-106.919066,-468.955878,0.000000
-106.914268,-468.951080,0.000000
-106.909470,-468.946282,0.000000
-106.904672,-468.941484,0.000000
-106.899874,-468.936686,0.000000
-106.895076,-468.931888,0.000000
-106.890278,-468.927090,0.000000
-106.885480,-468.922292,0.000000
-106.880682,-468.917494,0.000000
-106.875884,-468.912696,0.000000
-106.871086,-468.907898,0.000000
-106.866288,-468.903100,0.000000
-106.861490,-468.898302,0.000000
-106.856692,-468.893504,0.000000
-106.851894,-468.888706,0.000000
-106.847095,-468.883907,0.000000
-106.842297,-468.879109,0.000000
-106.837499,-468.874311,0.000000
-106.832701,-468.869513,0.000000
-106.827903,-468.864715,0.000000
-106.823105,-468.859917,0.000000
-106.818307,-468.855119,0.000000
-106.813509,-468.850321,0.000000
-106.808711,-468.845523,0.000000
-106.803913,-468.840725,0.000000
-106.799115,-468.835927,0.000000
-106.794317,-468.831129,0.000000
-106.789519,-468.826331,0.000000
-106.784721,-468.821533,0.000000
-106.779923,-468.816735,0.000000
-106.775124,-468.811936,0.000000
-106.770326,-468.807138,0.000000
-106.765528,-468.802340,0.000000
-106.760730,-468.797542,0.000000
-106.755932,-468.792744,0.000000
-106.751134,-468.787946,0.000000
-106.746336,-468.783148,0.000000
-106.741538,-468.778350,0.000000
-106.736740,-468.773552,0.000000
-106.731942,-468.768754,0.000000
-106.727144,-468.763956,0.000000
-106.722346,-468.759158,0.000000
-106.717548,-468.754360,0.000000
-106.712750,-468.749562,0.000000
-106.707952,-468.744764,0.000000
-106.703153,-468.739966,0.000000
-106.698355,-468.735167,0.000000
-106.693557,-468.730369,0.000000
-106.688759,-468.725571,0.000000
-106.683961,-468.720773,0.000000
-106.679163,-468.715975,0.000000
-106.674365,-468.711177,0.000000
-106.669567,-468.706379,0.000000
-106.664769,-468.701581,0.000000
