Average_IMU_SPS_Hz,6876.021
IMU_Time_sec,Accel_X_raw,Accel_Y_raw,Accel_Z_raw,Gyro_X_raw,Gyro_Y_raw,Gyro_Z_raw
0.020339,-28,-148,8276,50,-65,-32
0.020478,23,-160,8320,44,-97,-32
0.020618,38,-202,8330,56,-52,-1
0.020757,32,-109,8290,19,-65,-26
0.020896,8,-162,8325,50,-84,-7
0.021036,2,-183,8305,25,-58,-20
0.021175,14,-152,8280,44,-84,-13
0.021314,18,-134,8264,82,-84,-64
0.021453,0,-159,8259,0,-39,43
0.021593,-14,-103,8308,69,-97,-77
0.021733,-10,-94,8324,12,-58,18
0.021872,18,-125,8303,38,-39,-20
0.022011,20,-145,8317,88,-103,-13
0.022151,-15,-130,8308,19,-109,-70
0.02229,-19,-103,8307,44,-14,18
0.022429,-15,-131,8281,25,-84,-45
0.022568,58,-159,8291,63,-77,12
0.022707,33,-196,8354,19,-33,-32
0.022848,24,-125,8351,63,-97,-45
0.022986,-31,-118,8310,31,-52,12
0.023125,20,-108,8288,63,-58,-64
0.023267,47,-74,8221,12,-90,12
0.023404,31,-127,8303,44,-65,-45
0.023543,45,-140,8295,0,-46,-1
0.023683,8,-167,8307,69,-65,-26
0.023822,-21,-173,8282,69,-122,-58
0.023961,9,-117,8304,6,-14,50
0.024101,3,-87,8259,44,-135,-70
0.02424,22,-105,8298,56,-33,-7
0.024379,43,-79,8291,63,-84,-26
0.024519,7,-91,8327,31,-77,-13
0.024658,45,-113,8285,38,-90,-7
0.024797,103,-200,8295,50,-58,-20
0.024937,22,-128,8273,50,-65,-39
0.025076,29,-104,8245,6,-84,-13
0.025215,26,-130,8330,63,-71,5
0.025354,-18,-157,8365,38,-116,-45
0.025494,-27,-157,8331,25,-39,-13
0.025633,-8,-158,8294,75,-71,-13
0.025772,-17,-127,8304,19,-71,-32
0.025912,39,-134,8302,44,-84,-1
0.026051,6,-166,8315,38,-39,-32
0.02619,55,-134,8303,63,-97,-32
0.026329,17,-137,8197,56,-77,-13
0.026469,54,-78,8291,19,-58,-39
0.026608,37,-137,8307,44,-39,12
0.026748,-9,-91,8295,50,-97,-39
0.026887,62,-137,8329,-6,-65,12
0.027026,23,-164,8333,94,-90,-77
0.027165,8,-149,8321,-6,-52,43
0.027305,24,-157,8263,75,-97,-26
0.027444,11,-167,8322,56,-58,-45
0.027583,-18,-119,8295,12,-84,-7
0.027723,-24,-137,8278,38,-52,-1
0.027862,7,-187,8316,38,-77,-26
0.028001,68,-149,8282,38,-116,-39
0.02814,24,-118,8278,75,-14,-1
0.02828,-36,-136,8336,19,-116,-39
0.028419,-18,-145,8288,44,-26,-7
0.028559,-16,-140,8257,56,-122,-45
0.028698,-24,-186,8254,-13,-26,5
0.028837,-20,-143,8326,119,-97,-51
0.028976,14,-160,8347,25,-26,-7
0.029117,22,-171,8366,19,-84,-1
0.029255,12,-206,8339,38,-65,-39
0.029394,23,-155,8332,50,-71,-20
0.029534,14,-86,8289,31,-58,-20
0.029673,27,-132,8276,38,-58,-1
0.029813,56,-150,8303,63,-109,-45
0.029953,-7,-155,8345,63,-52,-32
0.030091,12,-165,8310,31,-52,12
0.03023,-12,-129,8280,19,-84,-45
0.03037,-24,-148,8346,82,-90,-20
0.030509,7,-137,8282,0,-58,-20
0.030648,34,-158,8303,69,-84,-1
0.030787,57,-161,8312,75,-58,-70
0.030926,-6,-148,8227,25,-90,31
0.031066,34,-117,8252,12,-58,-58
0.031205,-3,-135,8248,75,-71,18
0.031344,-64,-110,8313,12,-84,-26
0.031484,-13,-123,8360,63,-77,-64
0.031624,-15,-114,8341,50,-65,-26
0.031764,6,-112,8263,31,-65,12
0.031902,-3,-106,8268,50,-77,-51
0.032041,-9,-80,8279,50,-65,5
0.032182,32,-93,8332,50,-109,-26
0.032322,43,-108,8298,31,-52,-26
0.032459,-17,-157,8331,44,-84,-20
0.032598,6,-161,8294,75,-26,-13
0.032738,-63,-138,8276,0,-84,-26
0.032876,19,-153,8257,56,-90,-39
0.033016,17,-154,8216,44,-84,-1
0.033156,-21,-130,8200,25,-26,-20
0.033295,2,-141,8210,31,-77,-39
0.033434,-1,-158,8278,63,-109,-13
0.033573,-31,-88,8278,31,-20,18
0.033713,-14,-103,8308,38,-84,-45
0.033853,-34,-95,8321,75,-90,-45
0.033991,-17,-105,8332,25,-46,5
0.034131,12,-114,8249,31,-58,-32
0.03427,13,-105,8288,75,-84,-7
0.034409,33,-114,8256,44,-52,-26
0.034549,-2,-135,8308,31,-97,-13
0.034688,-9,-130,8315,75,-65,-45
0.034827,27,-130,8303,0,-71,-7
0.034967,46,-163,8272,63,-84,-13
0.035106,16,-127,8217,38,-77,-13
0.035245,42,-160,8295,50,-71,-39
0.035384,48,-152,8269,0,-26,-20
0.035524,-4,-93,8241,50,-90,31
0.035663,-21,-103,8252,63,-90,-77
0.035802,-8,-127,8317,69,-58,-26
0.035942,1,-125,8285,-6,-109,12
0.036081,-10,-91,8279,88,-14,-45
0.03622,13,-93,8244,38,-135,-32
0.03636,-17,-87,8240,19,-52,-13
0.036499,-18,-169,8235,56,-77,-32
0.036638,-20,-118,8276,-6,-33,31
0.036778,-9,-147,8325,113,-141,-83
0.036917,-12,-110,8270,-6,-58,5
0.037056,-40,-153,8309,56,-58,-26
0.037195,31,-91,8313,50,-84,-26
0.037335,32,-150,8288,31,-90,-20
0.037474,-13,-178,8296,63,-71,-45
0.037615,6,-136,8315,-31,-39,18
0.037753,-23,-140,8323,113,-84,-45
0.037892,23,-143,8327,6,-90,-20
0.038031,71,-146,8341,50,-58,-20
0.038171,8,-103,8344,56,-90,-26
0.03831,-15,-116,8320,31,-46,-45
0.038449,14,-152,8283,44,-77,5
0.038588,45,-188,8291,44,-58,-26
0.038728,57,-195,8281,56,-84,-39
0.038867,8,-140,8308,31,-71,-20
0.039006,46,-130,8267,44,-65,-7
0.039146,6,-178,8320,0,-39,-20
0.039285,-2,-150,8326,119,-97,-64
0.039424,44,-128,8331,-31,-46,12
0.039564,-12,-131,8364,88,-103,-20
0.039703,0,-192,8342,50,-46,-45
0.039842,14,-149,8350,25,-71,-26
0.039982,55,-141,8354,50,-77,-26
0.040121,42,-144,8309,12,-52,12
0.04026,51,-178,8368,63,-77,-32
0.0404,23,-165,8302,56,-97,-32
0.040539,-34,-208,8330,19,-26,-1
0.040678,-3,-193,8342,50,-109,-58
0.040817,-16,-183,8362,82,-39,-7
0.040957,-53,-205,8356,6,-58,-7
0.041096,4,-200,8348,69,-84,-20
0.041235,19,-154,8299,44,-71,-51
