Average_IMU_SPS_Hz,6933.169
IMU_Time_sec,Accel_X_raw,Accel_Y_raw,Accel_Z_raw,Gyro_X_raw,Gyro_Y_raw,Gyro_Z_raw
0.0,-7,-125,8280,6,-20,24
0.000139,29,-127,8292,82,-116,-45
0.000278,10,-150,8288,0,-26,-7
0.000423,35,-142,8284,119,-116,-83
0.000557,-14,-152,8290,-25,-14,56
0.000697,-5,-119,8303,69,-90,-70
0.000836,2,-168,8311,19,-65,43
0.000975,-7,-190,8326,44,-90,-77
0.001114,47,-137,8296,50,-33,12
0.001254,1,-128,8299,50,-97,-39
0.001393,7,-170,8332,50,-65,-1
0.001532,-10,-145,8344,44,-84,-51
0.001671,58,-139,8298,63,-58,-26
0.001811,44,-157,8284,38,-52,-20
0.00195,12,-156,8272,6,-77,-1
0.002089,-35,-154,8323,31,-71,-39
0.002229,-31,-177,8308,44,-71,-20
0.002368,-7,-108,8301,75,-77,-7
0.002507,-86,-140,8306,6,-46,-32
0.002647,26,-152,8333,69,-84,-32
0.002786,43,-151,8353,44,-58,5
0.002925,-13,-59,8313,19,-103,-58
0.003064,-2,-106,8296,63,-39,12
0.003204,-27,-96,8327,31,-84,-32
0.003343,-58,-110,8327,75,-71,-32
0.003482,9,-134,8311,38,-109,-1
0.003622,17,-180,8300,12,-46,-26
0.003761,30,-127,8334,69,-71,-20
0.0039,24,-138,8294,12,-58,-51
0.00404,16,-159,8323,75,-97,5
0.004179,30,-125,8307,19,-58,-26
0.004318,7,-164,8286,31,-65,-20
0.004458,-15,-137,8337,69,-52,-20
0.004597,-19,-136,8320,25,-109,-7
0.004736,9,-118,8331,56,-33,-20
0.004876,37,-117,8299,50,-97,-32
0.005015,15,-145,8312,63,-52,-26
0.005154,42,-148,8318,-6,-84,18
0.005293,-1,-153,8308,56,-52,-70
0.005433,-7,-152,8353,63,-90,24
0.005572,-22,-163,8309,44,-58,-26
0.005711,74,-142,8321,25,-97,-20
0.005851,22,-129,8330,38,-33,-20
0.00599,32,-156,8314,69,-77,-26
0.006129,14,-133,8287,-6,-58,-32
0.006269,32,-118,8341,82,-122,-7
0.006408,-39,-140,8362,25,-46,-45
0.006547,-30,-139,8341,50,-39,-1
0.006687,9,-84,8328,50,-116,-58
0.006826,-54,-103,8280,19,-52,37
0.006965,-31,-142,8254,69,-71,-32
0.007104,-27,-156,8330,12,-46,-32
0.007244,24,-134,8341,69,-77,-7
0.007383,31,-139,8362,31,-90,-39
0.007522,36,-135,8298,38,-58,5
0.007662,60,-138,8285,56,-71,-45
0.007801,22,-135,8282,38,-52,-1
0.00794,26,-138,8360,19,-103,-51
0.00808,-17,-164,8291,38,-33,18
0.008219,-17,-125,8273,63,-58,-39
0.008358,8,-117,8318,69,-103,-20
0.008498,36,-149,8303,31,-65,-7
0.008637,-58,-114,8321,38,-46,-20
0.008776,-42,-165,8303,38,-84,-26
0.008915,-12,-165,8294,63,-77,-13
0.009055,3,-93,8361,12,-84,-13
0.009194,39,-137,8299,88,-58,-32
0.009333,-19,-91,8287,38,-90,-20
0.009473,-2,-127,8292,19,-20,-20
0.009612,-4,-146,8323,88,-109,-39
0.009751,1,-150,8361,12,-84,5
0.009891,-18,-165,8355,12,-26,-39
0.010032,9,-161,8297,94,-97,-32
0.01017,27,-134,8308,25,-84,-7
0.010308,46,-125,8350,75,-77,-20
0.010448,-4,-106,8261,12,-97,-51
0.010588,26,-66,8297,31,-33,18
0.010726,32,-125,8326,69,-97,-58
0.010866,22,-151,8305,0,-39,18
0.011005,-26,-112,8300,94,-116,-26
0.011144,1,-129,8316,19,-39,-26
0.011284,-11,-88,8306,31,-77,-13
0.011423,23,-125,8239,44,-97,-20
0.011562,5,-129,8298,12,-65,-39
0.011701,-6,-99,8349,82,-65,-26
0.011841,28,-140,8314,-6,-77,12
0.01198,48,-165,8301,88,-39,-45
0.012119,52,-132,8298,19,-77,-20
0.01226,0,-143,8329,25,-71,-7
0.012398,-18,-189,8336,82,-65,-39
0.012539,15,-88,8272,31,-77,-20
0.012677,32,-108,8268,63,-33,-7
0.012817,6,-147,8312,25,-103,-45
0.012956,-19,-138,8272,38,-39,-7
0.013095,6,-71,8264,50,-90,-20
0.013234,14,-125,8324,63,-46,-39
0.013373,-32,-167,8314,6,-90,-1
0.013513,18,-113,8314,44,-71,-26
0.013653,-6,-161,8330,63,-65,-7
0.013791,-38,-151,8317,12,-58,-20
0.013931,-57,-91,8294,88,-71,-39
0.01407,-80,-122,8297,12,-84,-7
0.014209,-28,-123,8293,38,-46,-26
0.01435,5,-127,8290,69,-71,-1
0.014488,-21,-141,8294,6,-90,-64
0.014627,16,-145,8340,44,-33,5
0.014766,75,-156,8267,25,-109,-20
0.014906,36,-168,8269,63,-33,-20
0.015047,1,-107,8261,69,-52,-26
0.015184,-44,-155,8232,6,-90,5
0.015324,-15,-154,8242,31,-77,-45
0.015463,41,-175,8296,69,-58,5
0.015603,21,-191,8288,38,-52,-26
0.015742,6,-125,8256,-13,-46,-20
0.015881,-5,-127,8318,119,-116,-26
0.016021,-56,-122,8296,-13,-26,-7
0.01616,-24,-123,8295,44,-109,-20
0.016299,5,-96,8271,63,-103,-58
0.016438,12,-149,8254,25,-39,-1
0.016578,-29,-106,8316,56,-90,-20
0.016717,-6,-148,8316,6,-52,5
0.016856,94,-137,8262,88,-71,-64
0.016996,16,-101,8348,31,-58,31
0.017135,5,-127,8247,88,-65,-64
0.017274,-2,-102,8260,-19,-77,18
0.017413,53,-117,8326,88,-77,-58
0.017553,56,-125,8299,12,-58,18
0.017692,-7,-171,8305,82,-122,-58
0.017831,-15,-145,8306,19,-39,12
0.017971,-40,-144,8305,63,-77,-26
0.01811,-14,-105,8309,19,-84,-39
0.018249,-4,-99,8279,38,-58,-1
0.018388,14,-151,8285,63,-77,-39
0.018528,23,-168,8323,0,-58,24
0.018667,-15,-148,8328,44,-84,-64
0.018807,31,-110,8309,63,-52,5
0.018946,-16,-133,8238,63,-103,-64
0.019085,-1,-94,8246,19,-33,-1
0.019224,14,-152,8288,44,-77,5
0.019363,-5,-150,8305,31,-77,-26
0.019503,-31,-82,8334,56,-77,-58
0.019642,13,-153,8285,44,-77,18
0.019781,-3,-188,8296,19,-33,-26
0.019921,9,-141,8323,69,-90,-26
0.02006,39,-96,8345,44,-52,-7
0.0202,3,-99,8302,38,-77,-20
0.020339,-14,-107,8295,69,-90,-51
0.020478,-15,-107,8336,50,-65,12
0.020617,-58,-84,8342,19,-97,-26
0.020759,-17,-110,8273,50,-26,-13
0.020896,-38,-120,8285,56,-103,-26
0.021035,-20,-133,8301,31,-71,-7
0.021174,14,-178,8332,44,-71,-26
0.021314,52,-134,8308,38,-46,-13
0.021454,12,-127,8274,100,-84,-51
0.021592,-29,-99,8280,0,-103,-13
0.021732,-14,-132,8294,38,-20,12
0.021872,1,-136,8299,56,-77,-32
0.022011,19,-158,8333,38,-97,-45
0.02215,-8,-109,8259,25,-20,-1
0.022289,-28,-98,8294,44,-116,-45
0.022428,40,-104,8320,44,-52,-13
0.022569,-5,-97,8291,38,-52,-1
0.022707,-25,-88,8317,75,-84,-70
0.022846,-13,-98,8313,-25,-71,31
0.022986,42,-156,8280,75,-58,-39
0.023126,41,-150,8316,6,-52,-7
0.023264,5,-100,8286,56,-84,-20
0.023404,39,-128,8291,56,-71,-32
0.023543,14,-101,8335,31,-77,-26
0.023682,17,-142,8318,50,-84,-13
0.023822,17,-183,8292,19,-58,-7
0.023961,-20,-165,8303,88,-90,-26
0.0241,-4,-113,8336,44,-65,-13
0.02424,-26,-141,8318,12,-71,-32
0.024379,9,-82,8274,50,-52,-1
0.024518,-6,-146,8254,38,-71,-45
0.024657,-1,-69,8276,44,-65,5
0.024798,44,-106,8279,44,-109,-45
0.024936,44,-101,8315,69,-46,-13
0.025075,38,-134,8292,0,-58,-20
0.025214,13,-92,8276,69,-65,-7
0.025355,2,-118,8293,38,-65,-26
0.025495,-27,-135,8316,44,-77,-45
0.025633,17,-186,8294,-6,-52,31
0.025772,26,-189,8296,88,-84,-96
0.025912,12,-143,8296,25,-71,5
0.02605,11,-100,8254,6,-58,-1
0.02619,-35,-118,8310,63,-97,-58
0.026329,20,-105,8265,50,-26,24
0.026468,-68,-173,8359,12,-84,-26
0.026608,31,-111,8319,50,-97,-45
0.026747,36,-165,8331,44,-71,-1
0.026886,-12,-135,8281,19,-33,-32
0.027026,-66,-122,8323,31,-58,24
0.027165,29,-120,8323,69,-90,-89
0.027307,11,-99,8304,31,-77,12
0.027444,-4,-89,8272,44,-71,-45
0.027583,-10,-173,8261,0,-33,12
0.027722,-39,-179,8315,82,-122,-64
0.027862,-10,-160,8307,6,-58,5
0.028001,2,-98,8289,56,-84,-13
0.02814,-27,-134,8313,63,-46,-26
0.028279,-48,-124,8331,38,-77,-39
0.028419,-6,-127,8282,19,-77,12
0.028558,44,-106,8308,56,-90,-64
0.028697,-9,-94,8293,63,-58,18
0.028836,30,-105,8325,12,-39,-20
0.028976,23,-93,8259,56,-109,-58
