Average_MAG_SPS_Hz,766.420
MAG_Time_sec,Mag_X_raw,Mag_Y_raw,Mag_Z_raw
8.7e-05,-2194,984,-5408
0.001033,-2202,930,-5412
0.001978,-2210,952,-5424
0.002927,-2220,948,-5455
0.003872,-2214,938,-5461
0.004819,-2248,940,-5461
0.005765,-2234,966,-5363
0.006711,-2206,962,-5418
0.007657,-2228,968,-5404
0.008604,-2244,988,-5461
0.009551,-2184,978,-5419
0.010503,-2238,1020,-5404
0.011445,-2202,964,-5421
0.01239,-2212,950,-5396
0.013339,-2218,944,-5419
0.014285,-2246,970,-5401
0.015234,-2228,1018,-5490
0.016175,-2246,972,-5424
0.017122,-2276,956,-5417
0.018068,-2220,998,-5326
0.019014,-2224,958,-5449
0.01996,-2218,1002,-5427
0.020906,-2230,964,-5489
0.021852,-2238,988,-5439
0.022797,-2210,1010,-5452
0.023747,-2232,1002,-5513
0.02469,-2224,974,-5399
0.025636,-2212,988,-5445
0.026584,-2208,998,-5469
0.02753,-2188,956,-5465
0.028477,-2216,1028,-5456
0.029423,-2232,982,-5421
0.030371,-2220,966,-5443
0.031315,-2244,964,-5411
0.032262,-2238,970,-5514
0.033207,-2256,1008,-5458
0.034155,-2212,1004,-5524
0.035104,-2196,980,-5470
0.036048,-2216,968,-5565
0.036992,-2248,952,-5441
0.037942,-2232,994,-5513
0.038885,-2238,996,-5488
0.039833,-2226,1022,-5502
0.04078,-2218,978,-5496
0.04173,-2194,992,-5432
0.042677,-2204,960,-5447
0.043619,-2200,1024,-5498
0.044565,-2232,946,-5456
0.045511,-2230,976,-5431
0.04646,-2206,1006,-5455
0.047404,-2258,976,-5465
0.048349,-2256,962,-5396
0.049295,-2224,1000,-5494
0.050242,-2220,1006,-5404
0.051189,-2200,976,-5455
0.052137,-2198,944,-5537
0.053085,-2178,954,-5472
0.054028,-2216,1036,-5506
0.054974,-2204,992,-5462
0.055926,-2182,922,-5438
0.056867,-2220,986,-5516
0.057816,-2234,972,-5469
0.058761,-2228,934,-5444
0.059708,-2232,964,-5441
0.060654,-2186,968,-5526
0.061601,-2214,972,-5485
0.062546,-2206,968,-5513
0.063494,-2198,918,-5498
0.06444,-2196,988,-5499
0.065387,-2186,920,-5481
0.066336,-2208,930,-5495
0.06728,-2216,934,-5440
0.068226,-2204,998,-5412
0.069173,-2222,950,-5467
0.070121,-2166,950,-5489
0.071067,-2194,946,-5478
0.072013,-2192,994,-5507
0.072959,-2202,994,-5464
0.073905,-2200,954,-5535
0.074858,-2214,944,-5439
0.075799,-2194,980,-5495
0.076745,-2204,952,-5385
0.077691,-2206,918,-5460
0.078639,-2208,938,-5454
0.079586,-2222,932,-5502
0.080531,-2202,922,-5569
0.081477,-2184,944,-5450
0.082423,-2192,956,-5453
