Average_IMU_SPS_Hz,6550.711
IMU_Time_sec,Accel_X_raw,Accel_Y_raw,Accel_Z_raw,Gyro_X_raw,Gyro_Y_raw,Gyro_Z_raw
0.0,17,-150,8304,50,-97,-32
0.000139,10,-146,8292,31,-65,-1
0.000278,7,-178,8307,44,-52,-32
0.000418,49,-136,8292,44,-84,-39
0.000557,84,-59,8315,0,-52,5
0.000696,22,-100,8330,63,-77,-32
0.000836,-14,-126,8294,38,-58,-26
0.000975,45,-68,8328,38,-65,-7
0.001114,16,-100,8289,25,-65,-32
0.001253,36,-152,8330,38,-71,-20
0.001393,63,-127,8312,88,-141,-45
0.001532,35,-117,8293,12,-26,-39
0.001671,56,-123,8282,44,-26,56
0.001811,45,-112,8270,50,-135,-108
0.00195,2,-112,8295,63,-39,5
0.002089,64,-122,8283,0,-71,18
0.002229,23,-157,8303,50,-65,-58
0.002368,43,-102,8300,44,-45,-7
0.002507,6,-136,8306,50,-109,-32
0.002647,29,-99,8303,63,-77,-32
0.002786,68,-135,8288,-6,-52,5
0.002925,42,-135,8301,69,-65,-32
0.003066,29,-130,8311,38,-71,-7
0.003204,3,-61,8316,56,-97,-39
0.003343,35,-119,8265,31,-45,5
0.003482,24,-84,8293,50,-65,-64
0.003622,27,-112,8330,63,-77,-7
0.003761,18,-133,8298,12,-71,-1
0.0039,28,-113,8290,50,-97,-45
0.004043,-3,-137,8328,19,-33,-20
0.004179,34,-167,8315,69,-77,-13
0.004318,42,-108,8308,38,-77,-39
0.004458,29,-118,8378,63,-90,-1
0.004597,12,-131,8296,31,-33,-70
0.004736,48,-89,8298,6,-109,24
0.004875,68,-129,8288,88,-39,-45
0.005015,42,-143,8319,25,-90,18
0.005154,60,-146,8342,56,-90,-58
0.005293,-2,-133,8314,31,-26,31
0.005433,12,-148,8309,25,-97,-64
0.005572,1,-164,8259,63,-71,-32
0.005711,18,-163,8243,31,-39,24
0.005851,-5,-98,8313,56,-122,-51
0.00599,38,-156,8339,-19,-45,-7
0.006129,41,-115,8312,119,-109,-64
0.006269,38,-98,8344,-19,-20,24
