Average_MAG_SPS_Hz,814.746
MAG_Time_sec,Mag_X_raw,Mag_Y_raw,Mag_Z_raw
0.000657,-2134,998,-5470
0.001603,-2130,984,-5425
0.00255,-2146,910,-5457
0.003497,-2154,990,-5388
0.004443,-2146,958,-5394
0.00539,-2172,944,-5396
0.006337,-2156,938,-5387
0.007285,-2132,960,-5413
0.008231,-2178,960,-5437
0.009178,-2174,954,-5390
0.010125,-2184,954,-5430
0.011071,-2190,1018,-5363
0.012019,-2176,986,-5443
0.012966,-2158,980,-5480
0.013911,-2122,968,-5461
0.014858,-2148,1002,-5465
0.015805,-2112,948,-5454
0.016751,-2156,1008,-5425
0.017701,-2156,966,-5395
0.018645,-2200,962,-5370
0.019591,-2124,962,-5359
0.020537,-2136,978,-5430
0.021484,-2158,960,-5457
0.022432,-2162,984,-5449
0.023378,-2142,998,-5365
0.024325,-2178,954,-5403
0.025271,-2170,948,-5392
0.026218,-2134,976,-5416
0.027168,-2116,956,-5395
0.028111,-2144,982,-5337
0.029058,-2176,988,-5386
0.030004,-2144,948,-5477
0.030952,-2162,956,-5425
0.031898,-2146,1000,-5369
0.032846,-2154,958,-5401
0.033792,-2164,918,-5445
0.034738,-2168,984,-5399
0.035686,-2210,946,-5467
0.036633,-2200,994,-5436
0.037579,-2198,980,-5306
0.038527,-2188,1004,-5418
0.039474,-2172,942,-5427
0.040419,-2134,966,-5376
0.041367,-2172,926,-5470
0.042313,-2190,924,-5376
0.04326,-2148,986,-5376
0.04421,-2136,988,-5473
0.045153,-2156,942,-5396
0.046101,-2160,916,-5490
0.055573,-2196,974,-5385
0.05652,-2130,1002,-5358
0.057468,-2164,972,-5430
0.058415,-2132,942,-5410
0.059364,-2144,996,-5350
0.06031,-2180,968,-5402
0.061257,-2122,954,-5422
0.062204,-2142,998,-5477
0.06315,-2142,972,-5357
0.064099,-2152,932,-5336
0.065045,-2128,944,-5370
0.065993,-2152,984,-5439
0.06694,-2188,982,-5420
0.067886,-2190,996,-5437
0.068834,-2178,1020,-5459
0.069781,-2182,986,-5388
0.070728,-2190,968,-5517
0.071674,-2194,992,-5417
0.072622,-2154,956,-5443
0.073567,-2174,958,-5429
0.074514,-2198,984,-5415
0.075461,-2132,1002,-5397
0.07641,-2176,978,-5357
0.077354,-2152,946,-5428
0.078302,-2168,972,-5345
0.079248,-2148,988,-5425
0.080193,-2176,966,-5428
0.081141,-2180,980,-5498
0.082088,-2152,934,-5493
0.083037,-2154,988,-5452
0.083981,-2168,978,-5451
0.084931,-2160,966,-5379
0.085877,-2150,980,-5443
0.086824,-2190,1000,-5356
0.08777,-2128,1006,-5489
0.088716,-2158,976,-5387
0.089663,-2132,912,-5450
0.09061,-2166,952,-5401
0.091557,-2128,968,-5386
0.092505,-2158,950,-5356
0.093451,-2134,978,-5392
0.094397,-2166,966,-5376
0.095352,-2134,962,-5385
0.096292,-2118,936,-5384
0.097243,-2114,1014,-5450
0.098188,-2168,962,-5342
0.099133,-2130,936,-5422
0.100079,-2120,1010,-5388
0.101026,-2160,960,-5355
0.101973,-2142,1002,-5466
0.10292,-2122,966,-5466
0.103867,-2132,980,-5402
0.104814,-2168,1014,-5397
0.105761,-2170,972,-5409
0.106709,-2184,984,-5396
0.107656,-2118,936,-5349
0.108603,-2182,946,-5370
0.109551,-2152,942,-5332
0.110498,-2162,942,-5374
0.111445,-2122,950,-5385
0.112391,-2144,954,-5378
0.113338,-2172,948,-5385
0.114286,-2150,986,-5401
0.115232,-2166,950,-5477
0.116179,-2158,982,-5454
0.117126,-2148,988,-5397
0.118072,-2154,990,-5438
0.119019,-2132,1004,-5496
0.119966,-2170,1000,-5374
0.120913,-2142,1002,-5367
0.12186,-2162,968,-5372
0.122807,-2196,980,-5384
0.123755,-2146,984,-5436
0.124701,-2192,1026,-5373
0.125649,-2124,982,-5408
0.126595,-2172,964,-5424
0.127542,-2166,974,-5374
0.128492,-2168,984,-5378
0.129435,-2156,1004,-5402
0.130383,-2210,972,-5395
0.131329,-2192,1012,-5432
0.132276,-2202,948,-5421
0.133229,-2172,930,-5357
0.134169,-2132,940,-5390
0.135117,-2208,998,-5439
0.136064,-2148,1000,-5423
0.13701,-2170,974,-5407
0.137958,-2158,992,-5391
0.151219,-2186,984,-5360
0.152166,-2164,992,-5458
0.153113,-2194,1000,-5388
0.154061,-2138,998,-5400
0.155008,-2178,970,-5397
0.155955,-2200,996,-5328
0.156902,-2204,972,-5370
0.157849,-2176,1032,-5356
0.158797,-2174,990,-5351
0.159742,-2204,1006,-5323
0.16069,-2180,1000,-5397
0.161637,-2170,976,-5369
0.162586,-2198,994,-5362
0.163532,-2194,980,-5389
0.164478,-2190,948,-5375
0.165426,-2168,1034,-5396
0.166374,-2220,1008,-5373
0.16732,-2166,970,-5322
0.168267,-2204,968,-5372
0.169214,-2188,944,-5403
0.170161,-2172,966,-5346
0.171109,-2170,996,-5383
0.172056,-2198,960,-5345
0.173004,-2158,992,-5415
0.173951,-2180,974,-5416
0.174899,-2212,992,-5391
0.175844,-2154,936,-5388
0.176792,-2190,1004,-5411
0.177738,-2188,964,-5348
0.178684,-2196,988,-5341
0.179631,-2220,942,-5446
0.180577,-2190,996,-5375
0.181528,-2184,968,-5454
0.182472,-2174,948,-5394
0.183418,-2196,1002,-5425
0.184368,-2176,980,-5446
0.185312,-2150,970,-5410
0.186259,-2148,990,-5354
0.187206,-2184,960,-5388
0.188152,-2134,990,-5421
0.189098,-2176,1000,-5398
0.190045,-2160,948,-5392
0.190995,-2108,938,-5382
0.191939,-2156,1004,-5439
0.192886,-2126,990,-5324
0.193842,-2128,988,-5435
0.194779,-2120,986,-5388
0.195727,-2156,962,-5385
0.196674,-2156,956,-5460
0.197621,-2144,958,-5416
0.198567,-2144,940,-5393
0.199514,-2124,976,-5349
0.200462,-2164,948,-5429
0.20141,-2114,958,-5353
0.202356,-2136,970,-5479
0.203305,-2120,968,-5473
0.204251,-2152,1006,-5445
0.2052,-2156,1002,-5379
0.206146,-2138,986,-5453
0.207092,-2162,990,-5430
0.208039,-2130,976,-5454
0.208985,-2138,960,-5448
0.209932,-2132,1004,-5433
0.210879,-2168,974,-5410
0.211826,-2194,956,-5392
0.212774,-2174,1014,-5422
0.21372,-2094,956,-5341
0.214666,-2118,968,-5379
0.215614,-2154,976,-5396
0.216561,-2124,950,-5402
0.217511,-2130,980,-5446
0.218454,-2184,998,-5404
0.2194,-2164,968,-5426
0.220347,-2198,956,-5411
0.221295,-2156,952,-5411
0.222242,-2174,966,-5452
0.223188,-2116,984,-5479
0.224134,-2168,942,-5432
0.225082,-2176,956,-5424
0.226028,-2138,984,-5417
0.226976,-2142,1038,-5417
0.227923,-2150,990,-5414
0.228869,-2150,972,-5332
0.229816,-2216,978,-5372
0.230762,-2190,1004,-5345
0.231709,-2140,980,-5419
0.232656,-2136,968,-5432
0.233602,-2146,984,-5433
0.234548,-2146,978,-5392
0.235496,-2154,986,-5431
0.236444,-2146,1010,-5420
0.237391,-2148,988,-5415
0.238338,-2166,1036,-5343
0.239285,-2190,1026,-5410
0.240232,-2150,952,-5398
0.24118,-2168,1000,-5415
0.242128,-2120,988,-5407
0.243072,-2156,1016,-5397
0.244019,-2124,1034,-5463
0.262959,-2208,1040,-5357
0.263906,-2126,1004,-5400
0.264852,-2156,1020,-5364
0.265799,-2182,972,-5475
0.266745,-2184,998,-5356
0.267691,-2158,1040,-5376
0.268639,-2144,1020,-5282
0.269584,-2176,1026,-5384
0.270531,-2158,992,-5381
0.271478,-2150,1014,-5349
0.272424,-2146,1020,-5297
0.273371,-2122,1036,-5436
