Average_MAG_SPS_Hz,669.018
MAG_Time_sec,Mag_X_raw,Mag_Y_raw,Mag_Z_raw
0.000215,-2244,912,-5394
0.001163,-2248,932,-5434
0.002108,-2158,936,-5477
0.003054,-2130,918,-5527
0.004,-2150,892,-5464
0.004947,-2134,892,-5475
0.0059,-2174,926,-5460
0.006842,-2194,938,-5474
0.007787,-2174,938,-5451
0.008734,-2168,906,-5457
0.009681,-2154,936,-5442
0.010628,-2178,918,-5492
0.011576,-2214,902,-5491
0.01252,-2208,900,-5482
0.013469,-2186,906,-5423
0.014418,-2208,940,-5409
0.01536,-2216,926,-5472
0.016307,-2142,932,-5476
0.017253,-2200,904,-5444
0.0182,-2204,930,-5467
0.019146,-2192,914,-5465
0.020094,-2184,924,-5444
0.02104,-2156,912,-5514
0.021986,-2224,980,-5451
0.022934,-2224,900,-5436
0.023885,-2182,918,-5401
0.024827,-2214,876,-5471
0.025775,-2214,948,-5397
0.02672,-2202,956,-5461
0.027667,-2164,920,-5452
0.028614,-2212,976,-5496
0.029562,-2194,898,-5448
0.030511,-2174,924,-5434
0.031456,-2184,962,-5435
0.032402,-2184,904,-5438
0.033349,-2208,938,-5434
0.034296,-2206,904,-5407
0.035243,-2172,922,-5375
0.03619,-2228,902,-5479
0.037137,-2228,962,-5408
0.038083,-2200,938,-5472
0.03903,-2220,958,-5464
0.039977,-2210,946,-5485
0.040923,-2210,906,-5390
0.04187,-2202,952,-5478
0.042817,-2222,956,-5428
0.043762,-2250,902,-5376
0.044707,-2188,962,-5428
0.045654,-2192,978,-5465
0.0466,-2178,946,-5404
0.047547,-2188,940,-5399
0.048493,-2182,912,-5474
0.049439,-2162,930,-5515
0.050386,-2182,982,-5434
0.051333,-2168,926,-5437
0.052279,-2166,966,-5436
0.053224,-2182,974,-5381
0.05417,-2206,986,-5427
0.055117,-2234,974,-5484
0.056063,-2164,980,-5482
0.057011,-2192,920,-5464
0.057956,-2190,938,-5469
0.058902,-2192,934,-5568
0.059849,-2208,966,-5439
0.060795,-2214,946,-5398
0.061741,-2158,1002,-5404
0.062692,-2164,958,-5423
0.063634,-2192,986,-5443
0.06458,-2192,950,-5424
0.065528,-2192,936,-5425
0.066474,-2210,948,-5440
0.06742,-2210,956,-5403
0.068366,-2166,958,-5439
0.069312,-2192,972,-5416
0.070257,-2134,932,-5409
0.071205,-2172,888,-5423
0.072153,-2168,932,-5448
0.073098,-2188,962,-5402
0.074046,-2182,920,-5461
0.074997,-2204,898,-5509
0.075939,-2166,940,-5472
0.076885,-2188,910,-5439
0.077832,-2230,960,-5468
0.078779,-2188,924,-5436
0.079727,-2218,946,-5398
0.080673,-2134,966,-5498
0.081619,-2152,958,-5509
0.082566,-2188,938,-5417
0.083512,-2188,926,-5455
0.084459,-2156,944,-5442
0.085404,-2166,976,-5428
0.08635,-2160,954,-5494
0.087297,-2210,972,-5494
0.088243,-2150,972,-5437
0.089188,-2180,928,-5492
0.090136,-2226,952,-5417
0.091082,-2156,944,-5460
0.092028,-2180,932,-5443
0.092975,-2174,944,-5444
0.093922,-2168,940,-5512
0.094871,-2166,972,-5517
0.095815,-2184,922,-5491
0.106228,-2198,936,-5397
0.107179,-2198,980,-5468
0.108123,-2188,912,-5484
0.109068,-2220,942,-5373
0.110016,-2168,940,-5499
0.110963,-2200,956,-5459
0.11191,-2196,956,-5455
0.112857,-2198,960,-5469
0.113802,-2216,940,-5478
0.114748,-2154,914,-5454
0.115696,-2174,928,-5423
0.116641,-2138,916,-5411
0.117588,-2146,926,-5446
0.118534,-2216,920,-5456
0.11948,-2168,956,-5400
0.120427,-2228,952,-5417
0.121374,-2202,922,-5383
0.122321,-2202,924,-5420
0.123265,-2158,910,-5424
0.124211,-2184,930,-5460
0.125157,-2234,934,-5385
0.126103,-2202,934,-5382
0.127053,-2222,960,-5395
0.127997,-2192,938,-5477
0.128943,-2180,978,-5444
0.129889,-2196,908,-5453
0.130836,-2212,946,-5456
0.131782,-2186,932,-5440
0.132728,-2176,922,-5388
0.133675,-2212,950,-5428
0.134621,-2186,944,-5420
0.135569,-2170,924,-5417
0.136515,-2154,934,-5477
0.137462,-2196,950,-5461
0.138408,-2192,956,-5504
0.139356,-2222,980,-5499
0.140301,-2186,950,-5449
0.141247,-2184,952,-5447
0.142193,-2208,944,-5441
0.14314,-2214,904,-5435
0.144086,-2202,922,-5514
0.145032,-2234,960,-5480
0.145978,-2202,918,-5431
0.146924,-2168,934,-5415
0.147871,-2198,916,-5414
0.148819,-2192,944,-5498
0.149765,-2212,924,-5498
0.150709,-2188,932,-5447
0.151656,-2234,948,-5460
0.152602,-2170,946,-5494
0.153548,-2180,948,-5421
0.154497,-2210,946,-5451
0.155442,-2182,936,-5524
0.15639,-2182,956,-5520
0.157333,-2206,936,-5486
0.158279,-2188,912,-5467
0.159227,-2168,926,-5448
0.160173,-2182,930,-5407
0.161119,-2164,964,-5473
0.162066,-2178,968,-5402
0.163012,-2198,966,-5507
0.163959,-2210,878,-5480
0.164905,-2184,954,-5508
0.165851,-2236,938,-5416
0.166798,-2174,946,-5528
0.167744,-2180,944,-5514
0.168691,-2148,960,-5438
0.169637,-2164,944,-5445
0.170584,-2140,898,-5450
0.17153,-2208,938,-5360
0.172476,-2160,926,-5462
0.173423,-2152,954,-5443
0.174369,-2188,914,-5475
0.175315,-2228,922,-5489
0.176262,-2204,900,-5479
0.177209,-2254,970,-5419
0.178154,-2158,982,-5396
0.179101,-2144,938,-5443
0.180048,-2176,948,-5362
0.180996,-2172,960,-5513
0.181946,-2196,956,-5430
0.182888,-2152,940,-5457
0.183836,-2194,946,-5479
0.184782,-2162,992,-5435
0.185728,-2186,936,-5436
0.186677,-2190,958,-5486
0.187621,-2214,958,-5458
0.188568,-2132,928,-5429
0.204659,-2184,932,-5389
