Average_IMU_SPS_Hz,6759.574
IMU_Time_sec,Accel_X_raw,Accel_Y_raw,Accel_Z_raw,Gyro_X_raw,Gyro_Y_raw,Gyro_Z_raw
0.0,31,-171,8360,69,-58,-39
0.000139,76,-83,8316,6,-58,18
0.00028,37,-114,8326,75,-84,-51
0.000417,74,-127,8287,-6,-84,-7
0.000557,27,-70,8360,88,-46,-26
0.000696,-3,-155,8340,12,-71,-26
0.000836,22,-189,8236,50,-71,-26
0.000975,84,-210,8288,44,-46,-1
0.001114,51,-210,8308,69,-77,-70
0.001253,23,-201,8229,6,-77,12
0.001393,-53,-160,8261,75,-84,-13
0.001532,-3,-160,8291,44,-52,-26
0.001671,-24,-89,8395,19,-84,-39
0.001811,-40,-76,8348,82,-71,-26
0.00195,20,-62,8273,31,-71,-13
0.002089,25,-88,8294,44,-77,-7
0.002229,12,-137,8318,0,-46,-20
0.002368,-25,-94,8237,94,-90,-39
0.002507,-5,-189,8309,12,-103,-20
0.002647,5,-103,8261,44,-20,12
0.002786,7,-153,8251,56,-97,-64
0.002925,-7,-126,8277,50,-84,-1
0.003064,53,-86,8337,25,-52,-20
0.003204,66,-94,8306,31,-46,-13
0.003343,80,-63,8342,69,-97,-51
0.003482,35,-45,8274,19,-65,-13
0.003622,-23,-23,8273,56,-58,-1
0.003761,12,-54,8251,56,-90,-51
0.0039,-9,-88,8314,31,-46,-20
0.00404,37,-124,8323,63,-90,-39
0.004179,7,-158,8349,31,-65,-13
0.004318,-3,-210,8312,25,-52,-20
0.004458,-42,-92,8268,82,-77,-26
0.004597,-31,-87,8305,6,-58,-13
0.004736,7,-114,8258,44,-71,-26
0.004875,-30,-135,8290,44,-103,-20
0.005015,-19,-198,8269,44,-7,-7
0.005154,-46,-161,8300,38,-90,-20
0.005293,-40,-145,8328,69,-52,-32
0.005433,6,-150,8343,69,-109,-39
0.005572,-7,-130,8253,12,-39,5
0.005711,-14,-93,8285,50,-90,-32
0.005851,-1,-149,8286,63,-84,-20
0.00599,-12,-189,8327,0,-65,-51
0.006129,16,-171,8297,69,-58,12
0.006269,25,-88,8315,38,-77,-26
0.006408,97,-164,8247,31,-58,-7
0.006547,87,-130,8268,69,-71,-45
0.006686,81,-104,8300,38,-90,5
0.006826,90,-104,8369,56,-58,-26
0.006965,42,-17,8336,25,-90,-26
0.007104,29,-76,8263,63,-58,-13
0.007244,39,-40,8310,75,-71,-39
0.007383,11,-44,8275,19,-58,5
0.007522,70,-149,8332,69,-109,-45
0.007665,62,-155,8321,44,-26,5
0.007801,5,-164,8306,25,-109,-20
0.00794,57,-110,8272,38,-39,-45
0.00808,-24,-73,8238,82,-90,-13
0.008219,-30,-70,8329,38,-65,-58
0.008358,-2,-49,8344,31,-90,5
0.008497,-14,-100,8335,82,-52,-39
0.008638,5,-132,8334,6,-52,-20
0.008776,19,-88,8290,56,-90,5
