Average_MAG_SPS_Hz,867.211
MAG_Time_sec,Mag_X_raw,Mag_Y_raw,Mag_Z_raw
-7.5e-05,-2114,990,-5371
0.00087,-2144,962,-5344
0.001819,-2140,988,-5359
0.002764,-2134,1008,-5466
0.00371,-2122,1006,-5372
0.004656,-2110,992,-5357
0.005603,-2146,988,-5468
0.00655,-2164,968,-5324
0.007497,-2130,966,-5463
0.008444,-2106,994,-5421
0.00939,-2134,984,-5364
0.010338,-2154,1008,-5387
0.011286,-2104,1038,-5385
0.01223,-2132,986,-5344
0.013178,-2134,1032,-5351
0.01413,-2146,1004,-5407
0.015071,-2082,1010,-5427
0.016018,-2110,972,-5400
0.016964,-2128,968,-5406
0.017911,-2108,1022,-5321
0.018858,-2074,980,-5373
0.019804,-2030,1004,-5367
0.020751,-2104,1008,-5373
0.021698,-2116,984,-5386
0.022645,-2106,1018,-5401
0.023592,-2100,984,-5456
0.024539,-2094,1022,-5435
0.025486,-2132,992,-5410
0.026434,-2070,1018,-5419
0.02738,-2080,990,-5424
0.028328,-2088,990,-5393
0.029274,-2100,1062,-5484
0.03022,-2098,962,-5400
0.031168,-2108,1012,-5426
0.032117,-2098,1006,-5412
0.033062,-2110,996,-5501
0.034009,-2082,996,-5412
0.034955,-2126,984,-5426
0.035902,-2098,1022,-5408
0.036849,-2120,1016,-5426
0.037794,-2100,974,-5495
0.038743,-2092,980,-5428
0.039689,-2146,1008,-5413
0.040637,-2126,1018,-5428
0.041582,-2122,1026,-5457
0.042529,-2070,1010,-5468
0.043477,-2128,1026,-5450
0.044422,-2114,1004,-5457
0.045369,-2120,1024,-5466
0.046321,-2136,954,-5406
0.047263,-2134,1040,-5403
0.04821,-2126,1000,-5381
0.049157,-2108,994,-5400
0.050104,-2078,986,-5319
0.05105,-2086,954,-5405
0.051999,-2104,1008,-5416
0.052945,-2110,988,-5390
0.053893,-2088,982,-5324
0.05484,-2114,1044,-5314
0.055788,-2126,966,-5363
0.056734,-2072,1004,-5399
0.057682,-2114,990,-5398
0.058628,-2110,974,-5470
0.059577,-2120,958,-5422
0.060522,-2116,964,-5406
0.06147,-2076,932,-5388
0.062419,-2100,980,-5494
0.063362,-2116,996,-5383
0.064309,-2110,998,-5400
0.065255,-2098,982,-5420
0.066202,-2102,946,-5414
0.067149,-2112,956,-5436
0.068096,-2116,992,-5381
0.069043,-2114,970,-5406
0.069991,-2104,954,-5426
0.070936,-2128,974,-5431
0.071886,-2130,930,-5461
0.07283,-2096,936,-5420
0.073778,-2110,1012,-5416
0.074724,-2106,968,-5404
0.075671,-2126,970,-5426
0.076618,-2076,928,-5404
0.077564,-2134,976,-5465
0.078511,-2108,950,-5370
0.079458,-2112,986,-5387
0.080405,-2104,968,-5412
0.081352,-2120,990,-5447
0.082298,-2116,1002,-5404
0.083247,-2140,1004,-5449
0.084192,-2146,978,-5396
0.085138,-2128,980,-5437
0.086086,-2112,996,-5366
0.087033,-2112,994,-5413
0.08798,-2138,994,-5429
0.088927,-2120,1012,-5483
0.089874,-2148,994,-5464
0.090821,-2142,1006,-5355
0.091768,-2096,1016,-5358
0.092718,-2102,970,-5463
0.093664,-2144,970,-5459
0.094607,-2120,936,-5416
0.095555,-2132,976,-5391
0.096502,-2132,972,-5418
0.097449,-2122,974,-5452
0.0984,-2112,956,-5480
0.099343,-2130,982,-5481
0.10029,-2122,938,-5405
0.101237,-2130,982,-5423
0.102186,-2150,946,-5433
0.103132,-2118,988,-5419
0.104079,-2122,986,-5445
0.105026,-2104,960,-5418
0.105973,-2126,988,-5448
0.10692,-2092,1028,-5415
0.107873,-2086,1014,-5448
0.108815,-2112,982,-5450
0.109761,-2062,1002,-5409
0.110708,-2076,1026,-5319
0.111654,-2080,982,-5428
0.112601,-2108,1026,-5387
0.113547,-2122,992,-5439
0.114493,-2130,1022,-5492
0.11544,-2148,984,-5414
0.127753,-2082,1018,-5406
0.128697,-2060,1022,-5397
0.129645,-2108,988,-5317
0.130591,-2070,960,-5405
0.131539,-2124,992,-5441
0.132486,-2064,988,-5409
0.133433,-2110,1004,-5446
0.13438,-2058,998,-5396
0.135327,-2094,1026,-5364
0.136273,-2084,968,-5466
0.137221,-2086,966,-5428
0.138168,-2084,966,-5461
0.139114,-2088,986,-5494
0.140062,-2098,938,-5442
0.141008,-2094,964,-5434
0.141957,-2132,904,-5454
0.142902,-2134,940,-5428
0.143849,-2096,954,-5437
0.144797,-2128,972,-5546
0.145742,-2044,980,-5456
0.146689,-2134,942,-5437
0.147635,-2124,978,-5419
0.148582,-2086,1000,-5441
0.14953,-2102,964,-5443
0.150477,-2142,966,-5441
0.151422,-2108,940,-5560
0.152369,-2078,1022,-5375
0.153315,-2086,978,-5387
0.154263,-2036,990,-5485
0.155208,-2066,966,-5412
0.156155,-2096,944,-5471
0.157102,-2088,1008,-5364
0.158048,-2124,1000,-5493
0.158999,-2096,946,-5463
0.159942,-2130,932,-5344
0.160889,-2134,928,-5423
0.161835,-2132,950,-5470
0.162782,-2130,952,-5466
0.163729,-2166,1010,-5403
0.164676,-2116,984,-5481
0.165622,-2096,900,-5498
0.166569,-2154,954,-5408
0.167524,-2158,914,-5454
0.168464,-2122,952,-5384
0.169411,-2170,930,-5379
0.170358,-2144,962,-5427
0.171307,-2122,942,-5389
0.172253,-2136,984,-5409
0.173201,-2148,968,-5415
0.174148,-2140,968,-5426
0.175094,-2116,982,-5458
0.176041,-2128,970,-5412
0.176987,-2106,998,-5438
0.177935,-2138,934,-5455
0.178883,-2076,998,-5413
0.179829,-2116,978,-5389
0.180776,-2104,1006,-5431
0.181722,-2132,974,-5388
0.182669,-2134,976,-5399
0.183616,-2088,972,-5364
0.184563,-2104,1026,-5428
0.185511,-2142,952,-5391
0.186456,-2122,958,-5446
0.187404,-2130,950,-5374
0.188353,-2108,946,-5464
0.189297,-2102,978,-5446
0.190244,-2132,958,-5462
0.191191,-2144,960,-5441
0.19214,-2142,926,-5352
0.193084,-2086,940,-5433
0.194031,-2092,952,-5468
0.194979,-2132,934,-5375
0.195924,-2084,952,-5395
0.196871,-2094,962,-5370
0.19782,-2116,972,-5396
0.198765,-2122,960,-5425
0.199713,-2062,946,-5421
0.20066,-2078,964,-5388
0.201607,-2108,996,-5336
0.202556,-2092,998,-5363
0.203502,-2122,996,-5385
0.204449,-2112,970,-5462
0.205396,-2068,974,-5428
0.206342,-2126,976,-5429
0.207289,-2066,956,-5379
0.208237,-2118,968,-5416
0.209184,-2106,984,-5387
0.21013,-2102,990,-5421
0.223388,-2114,968,-5389
0.224334,-2142,936,-5375
0.225281,-2158,956,-5453
0.226229,-2088,952,-5438
0.227175,-2080,986,-5385
0.228123,-2128,954,-5447
0.229069,-2142,956,-5383
0.230016,-2150,934,-5477
0.230965,-2134,976,-5414
0.231909,-2110,1010,-5369
