Average_MAG_SPS_Hz,798.729
MAG_Time_sec,Mag_X_raw,Mag_Y_raw,Mag_Z_raw
0.213786,-2160,1040,-5423
0.214734,-2140,1042,-5424
0.215683,-2148,972,-5410
0.216633,-2166,1014,-5448
0.217579,-2098,992,-5419
0.218526,-2136,986,-5452
0.219474,-2130,984,-5386
0.220422,-2152,1020,-5424
0.22137,-2106,1006,-5456
0.222318,-2168,1016,-5483
0.223265,-2102,988,-5386
0.224213,-2116,964,-5466
0.225161,-2106,960,-5452
0.22611,-2146,962,-5439
0.227056,-2162,1020,-5434
0.228004,-2142,1002,-5413
0.228952,-2156,1000,-5377
0.2299,-2152,1036,-5401
0.230845,-2140,942,-5352
0.231791,-2144,1000,-5403
0.232738,-2150,986,-5327
0.233686,-2108,1020,-5401
0.234633,-2126,958,-5456
0.23558,-2168,1000,-5448
0.236526,-2156,1014,-5448
0.237474,-2086,1014,-5375
0.238421,-2088,984,-5377
0.23937,-2116,972,-5369
0.240318,-2110,1000,-5418
0.241264,-2112,998,-5362
0.242212,-2122,980,-5425
0.243159,-2096,994,-5446
0.244106,-2114,1012,-5509
0.261154,-2094,980,-5349
0.2621,-2108,984,-5359
0.263048,-2068,1030,-5443
0.263998,-2126,998,-5351
0.264942,-2130,998,-5373
0.26589,-2114,1008,-5433
0.266839,-2122,1030,-5440
0.267783,-2096,968,-5370
0.268734,-2110,976,-5495
0.269678,-2092,972,-5424
0.270624,-2088,984,-5374
0.271573,-2120,1004,-5391
0.272518,-2128,1008,-5390
0.273465,-2156,1008,-5367
0.274412,-2104,1000,-5343
0.275358,-2104,1062,-5326
0.276305,-2108,1022,-5464
0.277253,-2140,1044,-5401
0.278201,-2130,1040,-5413
0.279147,-2072,1028,-5483
0.280094,-2136,1044,-5428
0.281041,-2166,1026,-5415
0.281989,-2106,1006,-5396
0.282938,-2128,992,-5456
0.283883,-2126,1016,-5430
0.28483,-2132,1008,-5322
0.285778,-2146,1026,-5325
0.286724,-2108,1026,-5390
0.287674,-2158,1004,-5393
0.288619,-2130,1014,-5438
0.289566,-2122,1000,-5415
0.290514,-2110,1032,-5398
0.291462,-2112,1026,-5436
0.292411,-2108,978,-5459
0.293357,-2132,1002,-5437
0.294306,-2130,1014,-5428
0.295251,-2086,1008,-5452
0.296198,-2102,1004,-5357
0.297147,-2140,1046,-5404
0.298093,-2124,1008,-5395
0.29904,-2150,992,-5430
0.299987,-2114,996,-5452
0.300934,-2106,1014,-5429
0.301884,-2094,1032,-5499
0.302829,-2104,1000,-5428
0.303774,-2118,1010,-5426
0.304721,-2130,1028,-5426
0.305669,-2120,1050,-5369
0.306616,-2122,1056,-5444
0.307564,-2108,1044,-5397
0.308511,-2134,1076,-5413
0.309459,-2100,974,-5291
0.310405,-2122,980,-5387
0.311356,-2126,992,-5438
0.3123,-2114,1004,-5374
0.313247,-2140,994,-5428
0.314198,-2096,1014,-5378
0.315141,-2068,1060,-5379
0.316088,-2102,980,-5350
0.317035,-2094,1016,-5339
0.317981,-2086,984,-5404
0.318928,-2128,1006,-5348
0.319874,-2096,980,-5384
0.320821,-2170,1012,-5371
0.321767,-2128,988,-5379
0.322717,-2122,992,-5368
0.323662,-2106,944,-5407
0.324609,-2120,980,-5381
0.325557,-2088,1004,-5402
0.326503,-2170,954,-5423
0.32745,-2120,968,-5315
0.328399,-2104,984,-5350
0.329344,-2060,986,-5421
0.33029,-2092,966,-5322
0.331237,-2074,988,-5362
0.332183,-2070,948,-5379
0.33313,-2074,1008,-5377
0.334077,-2114,984,-5433
0.335023,-2130,1042,-5366
0.33597,-2076,1026,-5464
0.336917,-2124,988,-5388
0.337864,-2094,1020,-5356
0.338811,-2102,1014,-5424
0.339758,-2106,1032,-5382
0.340705,-2114,986,-5427
0.341651,-2104,1044,-5404
0.3426,-2118,1012,-5345
0.343546,-2082,968,-5397
0.344491,-2064,1002,-5422
0.345439,-2104,992,-5455
0.346386,-2096,978,-5434
0.362483,-2066,1014,-5399
0.36343,-2056,1020,-5387
0.364378,-2074,1006,-5417
0.365325,-2110,1064,-5397
0.366271,-2062,1004,-5415
0.36722,-2098,1038,-5392
0.368165,-2116,986,-5411
0.369111,-2024,1030,-5391
0.370059,-2082,1000,-5427
0.371004,-2082,982,-5416
0.371955,-2106,1004,-5401
0.372898,-2068,968,-5457
0.373846,-2030,960,-5412
0.374793,-2074,974,-5448
0.37574,-2094,996,-5388
0.376687,-2098,992,-5459
0.377634,-2066,970,-5484
0.378581,-2084,1018,-5415
0.379527,-2106,996,-5422
0.380474,-2130,1020,-5417
0.381422,-2106,986,-5428
0.382368,-2094,984,-5494
0.383315,-2104,994,-5504
0.384263,-2048,1002,-5413
0.385209,-2096,1018,-5413
0.386156,-2106,998,-5367
0.387101,-2096,992,-5396
0.388048,-2056,994,-5502
0.388997,-2104,976,-5433
0.389942,-2072,964,-5391
0.39089,-2110,982,-5472
0.391836,-2100,948,-5469
0.392783,-2046,982,-5390
0.393734,-2094,988,-5369
0.394677,-2106,958,-5467
0.395625,-2074,1020,-5382
0.396571,-2106,972,-5434
0.397518,-2122,998,-5393
0.398471,-2078,944,-5428
0.399413,-2044,950,-5414
0.40036,-2142,1024,-5459
0.401307,-2108,968,-5458
0.402256,-2134,950,-5467
0.403207,-2096,968,-5439
0.40415,-2078,972,-5437
0.405097,-2128,1006,-5441
0.406044,-2046,998,-5395
0.406991,-2118,1002,-5441
0.407944,-2086,982,-5428
0.408885,-2120,1026,-5461
0.409832,-2038,1048,-5482
0.410779,-2064,1030,-5446
0.41173,-2086,974,-5401
0.412675,-2082,980,-5417
0.413622,-2086,988,-5494
0.414569,-2106,988,-5444
0.415515,-2094,974,-5386
0.416461,-2078,994,-5392
0.417408,-2096,1018,-5409
0.418356,-2058,1010,-5467
0.419303,-2106,986,-5445
0.42025,-2036,982,-5396
0.421198,-2044,1048,-5444
0.422146,-2066,1008,-5450
0.423093,-2094,1028,-5399
0.424041,-2044,998,-5444
0.424988,-2098,964,-5430
0.425935,-2090,1006,-5384
0.426884,-2100,982,-5368
0.42783,-2122,1022,-5374
0.428779,-2130,1030,-5389
0.429726,-2074,1014,-5363
0.430673,-2086,948,-5334
0.431619,-2112,1028,-5335
0.432566,-2100,1008,-5420
0.433514,-2112,1010,-5474
0.434461,-2132,1006,-5389
0.435408,-2122,992,-5421
0.436354,-2098,1010,-5385
0.437302,-2114,1000,-5417
0.438249,-2098,990,-5445
0.439197,-2124,1000,-5346
0.440144,-2072,1030,-5391
0.441091,-2100,1036,-5404
0.442039,-2096,990,-5400
0.442986,-2108,1038,-5376
0.443933,-2128,1008,-5438
0.463822,-2108,1030,-5348
0.464771,-2136,1020,-5437
0.465719,-2108,1022,-5411
0.466665,-2124,1016,-5403
0.467614,-2132,1010,-5327
0.468561,-2116,1004,-5418
0.469507,-2082,1036,-5460
0.470454,-2098,1008,-5338
0.471401,-2072,1014,-5406
0.472348,-2056,1044,-5371
0.473296,-2046,1004,-5385
0.474242,-2086,1010,-5422
0.47519,-2106,996,-5342
0.476137,-2066,1022,-5401
0.477084,-2090,990,-5395
0.478034,-2116,984,-5366
0.478981,-2074,1042,-5427
0.479928,-2068,978,-5434
0.480875,-2048,978,-5358
0.481822,-2094,1010,-5337
0.48277,-2062,1028,-5378
0.483716,-2062,988,-5358
0.484665,-2140,982,-5366
0.485612,-2082,994,-5414
0.48656,-2108,1002,-5459
0.487507,-2098,1026,-5344
0.488454,-2104,1020,-5432
0.489402,-2130,986,-5418
0.490349,-2088,990,-5415
0.491295,-2082,1006,-5422
0.492243,-2102,1052,-5446
0.493192,-2086,992,-5433
0.494138,-2080,960,-5451
