Average_MAG_SPS_Hz,902.546
MAG_Time_sec,Mag_X_raw,Mag_Y_raw,Mag_Z_raw
0.000247,-2140,962,-5426
0.001194,-2094,964,-5406
0.00214,-2096,990,-5348
0.003088,-2038,974,-5435
0.004034,-2108,942,-5417
0.004981,-2072,974,-5362
0.005928,-2104,988,-5293
0.006876,-2114,954,-5380
0.007823,-2108,1004,-5386
0.00877,-2062,988,-5477
0.009717,-2104,976,-5371
0.010664,-2062,964,-5322
0.011612,-2140,966,-5436
0.012558,-2138,968,-5346
0.013506,-2098,988,-5335
0.014453,-2090,1004,-5340
0.015401,-2136,984,-5434
0.016349,-2112,984,-5474
0.017295,-2052,1010,-5406
0.018242,-2086,964,-5399
0.019188,-2078,996,-5322
0.020135,-2096,968,-5409
0.021085,-2102,974,-5410
0.022029,-2130,950,-5373
0.022977,-2090,948,-5359
0.023924,-2094,928,-5427
0.024871,-2150,972,-5419
0.025821,-2066,972,-5400
0.026765,-2098,956,-5376
0.027712,-2074,932,-5395
0.028659,-2084,954,-5386
0.029606,-2048,930,-5423
0.030553,-2090,968,-5401
0.0315,-2086,1000,-5449
0.032447,-2110,954,-5403
0.033395,-2106,970,-5384
0.034341,-2118,964,-5458
0.035287,-2104,986,-5462
0.036235,-2114,960,-5435
0.037182,-2130,942,-5387
0.03813,-2082,946,-5426
0.039077,-2080,964,-5368
0.040024,-2082,986,-5444
0.040971,-2072,1004,-5449
0.041917,-2116,970,-5421
0.042863,-2112,982,-5414
0.04381,-2098,952,-5381
0.044757,-2160,996,-5388
0.045703,-2074,1002,-5426
0.056119,-2116,1024,-5499
0.057066,-2108,988,-5446
0.058013,-2098,972,-5466
0.058961,-2084,986,-5489
0.059911,-2098,978,-5503
0.060855,-2132,996,-5463
0.061802,-2122,976,-5390
0.062751,-2140,982,-5386
0.063696,-2070,974,-5450
0.064644,-2112,1006,-5503
0.065589,-2104,954,-5472
0.066536,-2108,948,-5450
0.067484,-2056,992,-5467
0.06843,-2096,990,-5448
0.069379,-2120,956,-5452
0.070323,-2084,982,-5507
0.071271,-2072,1002,-5430
0.072218,-2128,954,-5474
0.073164,-2148,954,-5503
0.074115,-2128,952,-5518
0.075059,-2034,954,-5431
0.076007,-2098,942,-5459
0.076954,-2060,952,-5425
0.077901,-2060,992,-5486
0.078853,-2090,944,-5508
0.079796,-2086,950,-5460
0.080744,-2094,978,-5460
0.08169,-2094,922,-5488
0.082637,-2108,982,-5474
0.083589,-2122,1010,-5461
0.084531,-2080,986,-5510
0.085483,-2064,990,-5416
0.086427,-2068,982,-5540
0.087374,-2092,956,-5434
0.088324,-2036,962,-5394
0.089269,-2098,968,-5418
0.090216,-2108,958,-5386
0.091164,-2104,956,-5404
0.09211,-2044,994,-5398
0.09306,-2078,1030,-5455
0.094004,-2108,982,-5365
0.094953,-2090,974,-5404
0.095904,-2110,998,-5445
0.096847,-2078,986,-5462
0.097797,-2068,970,-5433
0.098742,-2110,978,-5448
0.09969,-2076,958,-5397
0.100636,-2064,978,-5444
0.101584,-2146,944,-5454
0.102534,-2076,976,-5409
0.10348,-2060,960,-5399
0.104427,-2090,984,-5440
0.105376,-2094,962,-5458
0.106323,-2044,990,-5429
0.107271,-2114,970,-5466
0.108218,-2100,986,-5447
0.109165,-2112,1000,-5442
0.110112,-2066,984,-5449
0.111059,-2054,978,-5475
0.112008,-2100,962,-5374
0.112954,-2102,1046,-5431
0.113901,-2100,1012,-5455
0.114848,-2104,970,-5495
0.115796,-2084,1002,-5481
0.116744,-2100,988,-5485
0.11769,-2116,1010,-5524
0.118642,-2096,966,-5404
0.119585,-2110,958,-5439
0.120532,-2086,974,-5446
0.121481,-2028,994,-5424
0.122428,-2086,980,-5461
0.123376,-2066,1018,-5451
0.124321,-2088,978,-5479
0.125268,-2096,994,-5468
0.126218,-2094,980,-5439
0.127163,-2106,972,-5414
0.12811,-2138,996,-5484
0.129057,-2048,1008,-5419
0.130004,-2120,950,-5412
0.130953,-2122,964,-5423
0.131899,-2142,990,-5463
0.132845,-2098,1004,-5397
0.133792,-2110,960,-5411
0.134739,-2108,1004,-5371
0.135689,-2098,1022,-5352
0.136634,-2116,1016,-5395
0.13758,-2122,1018,-5385
0.138528,-2052,1006,-5417
0.157477,-2110,944,-5430
0.158425,-2080,942,-5483
0.159372,-2122,988,-5413
0.16032,-2112,996,-5407
0.161266,-2076,932,-5419
0.162216,-2116,988,-5402
0.163162,-2092,956,-5381
0.164109,-2116,988,-5414
0.165056,-2070,956,-5383
0.166004,-2098,994,-5470
0.166951,-2118,960,-5426
0.167899,-2078,986,-5484
0.16885,-2034,982,-5547
0.169796,-2122,970,-5443
0.170743,-2096,986,-5398
0.17169,-2110,996,-5517
0.17264,-2136,962,-5406
0.173587,-2106,974,-5454
0.174534,-2044,990,-5479
0.175482,-2114,966,-5408
0.176427,-2076,954,-5415
0.177375,-2060,974,-5463
0.178324,-2088,992,-5389
0.179269,-2070,980,-5433
0.180217,-2072,982,-5437
0.181164,-2102,1046,-5497
0.182111,-2100,1018,-5358
0.18306,-2118,960,-5411
0.184008,-2168,990,-5419
0.184953,-2120,990,-5398
0.185901,-2102,968,-5350
0.186848,-2090,952,-5392
0.187797,-2094,972,-5371
0.188742,-2068,1004,-5420
0.189689,-2102,1008,-5358
0.190636,-2114,976,-5398
0.191586,-2060,968,-5441
0.192533,-2070,1020,-5417
0.193477,-2134,976,-5380
0.194425,-2058,958,-5443
0.195372,-2088,958,-5389
0.19632,-2096,982,-5411
0.19727,-2142,990,-5418
0.198214,-2104,974,-5339
0.199161,-2052,950,-5385
0.200109,-2080,916,-5412
0.201056,-2092,966,-5409
0.202006,-2092,964,-5357
0.202951,-2062,956,-5327
0.2039,-2112,936,-5427
0.204845,-2122,966,-5347
0.205794,-2106,972,-5412
0.206742,-2044,980,-5354
0.207687,-2102,972,-5415
0.208634,-2074,974,-5395
0.209581,-2160,956,-5458
0.21053,-2098,980,-5364
0.211479,-2096,952,-5350
0.212423,-2150,900,-5381
0.213369,-2088,990,-5442
0.214316,-2090,936,-5512
0.215262,-2106,974,-5395
0.21621,-2058,966,-5398
0.217157,-2118,986,-5405
0.218104,-2096,984,-5456
0.219051,-2136,962,-5434
0.219998,-2120,970,-5424
0.220946,-2108,984,-5455
0.221892,-2106,966,-5362
0.222839,-2086,984,-5413
0.223786,-2104,892,-5406
0.224733,-2086,942,-5387
0.225683,-2058,942,-5396
0.226626,-2070,958,-5393
0.227573,-2080,970,-5436
0.22852,-2100,952,-5455
0.229467,-2092,1004,-5426
0.230414,-2104,990,-5454
0.231362,-2094,966,-5364
0.232309,-2054,990,-5361
0.233257,-2076,940,-5372
0.234204,-2078,954,-5396
0.235151,-2102,948,-5423
0.236099,-2094,926,-5453
0.237045,-2096,966,-5419
0.237992,-2108,988,-5359
0.238939,-2102,938,-5399
0.252198,-2112,948,-5339
0.253145,-2056,916,-5328
0.254092,-2072,980,-5367
0.255038,-2102,952,-5402
0.255988,-2126,954,-5389
0.256936,-2112,944,-5386
0.257878,-2098,946,-5441
0.258827,-2064,960,-5434
0.259773,-2126,984,-5356
0.260721,-2100,956,-5404
0.261667,-2094,918,-5443
0.262614,-2108,998,-5438
0.263562,-2082,1008,-5406
0.264508,-2104,992,-5364
0.265458,-2100,980,-5417
0.266406,-2130,984,-5423
0.26735,-2138,956,-5419
0.268298,-2148,950,-5367
0.269244,-2092,984,-5385
0.270191,-2114,974,-5361
0.271143,-2100,968,-5426
0.272085,-2116,962,-5374
0.273032,-2124,990,-5362
0.273981,-2136,1006,-5459
0.274927,-2112,976,-5399
0.275872,-2104,946,-5400
0.276821,-2122,976,-5395
0.277768,-2120,964,-5506
0.278717,-2112,942,-5466
0.279662,-2084,944,-5423
0.280608,-2106,948,-5386
0.281556,-2116,976,-5463
0.282503,-2070,966,-5489
0.28345,-2120,964,-5357
0.284397,-2092,986,-5434
0.285345,-2144,970,-5501
0.286291,-2104,986,-5395
