Average_IMU_SPS_Hz,6913.820
IMU_Time_sec,Accel_X_raw,Accel_Y_raw,Accel_Z_raw,Gyro_X_raw,Gyro_Y_raw,Gyro_Z_raw
0.0,-18,-131,8236,56,-71,-64
0.00014,16,-169,8349,56,-109,-13
0.00028,28,-136,8333,50,-46,-39
0.000422,-10,-106,8319,6,-77,-7
0.000558,2,-178,8301,75,-84,-20
0.000698,23,-144,8252,0,-39,-39
0.000836,65,-142,8321,56,-71,18
0.000976,0,-117,8324,44,-103,-51
0.001115,12,-69,8266,38,-39,-1
0.001254,16,-83,8238,82,-116,-58
0.001393,23,-123,8276,31,-20,-20
0.001533,57,-91,8289,0,-97,12
0.001672,36,-124,8270,107,-97,-32
0.001811,23,-131,8257,6,-52,-26
0.001951,-27,-136,8321,69,-77,-32
0.00209,-4,-117,8266,63,-90,-1
0.002229,4,-125,8270,0,-46,-20
0.002369,62,-121,8286,63,-84,-20
0.002508,21,-115,8298,31,-52,-39
0.002647,27,-100,8283,75,-71,5
0.002787,55,-132,8297,25,-128,-51
0.002926,-7,-152,8294,38,-26,-7
0.003065,71,-152,8311,44,-116,12
0.003204,70,-93,8306,38,-26,-45
0.003344,19,-131,8331,56,-84,-45
0.003483,47,-154,8297,50,-71,-20
0.003622,42,-164,8304,44,-46,-1
0.003762,10,-120,8249,56,-77,-26
0.003901,8,-111,8287,-6,-77,-26
0.00404,25,-188,8275,82,-97,-32
0.00418,-8,-145,8310,56,-33,12
0.004319,40,-94,8298,0,-77,-45
0.004458,52,-134,8267,50,-65,-7
0.004598,24,-141,8295,44,-97,-45
0.004737,42,-159,8283,56,-46,5
0.004876,33,-144,8281,12,-84,-20
0.005016,29,-100,8301,75,-33,-45
0.005155,27,-117,8265,31,-103,-13
0.005294,11,-150,8296,19,-20,5
0.005433,-61,-109,8307,94,-109,-45
0.005573,-39,-135,8310,6,-33,18
0.005712,24,-78,8306,82,-135,-83
0.005851,2,-147,8286,-13,-20,31
0.005991,-15,-127,8320,69,-84,-26
0.00613,3,-115,8329,38,-116,-51
0.006269,-14,-154,8255,50,-20,18
0.006409,72,-116,8268,69,-84,-45
0.006548,25,-128,8298,25,-77,-13
0.006687,17,-116,8271,19,-65,-1
0.006827,38,-156,8281,82,-97,-58
0.006966,28,-113,8263,6,-52,5
0.007105,-1,-80,8279,63,-84,-45
0.007244,36,-94,8301,56,-52,5
0.007384,-23,-151,8357,31,-109,-58
0.007523,-5,-170,8333,25,-14,31
0.007662,46,-159,8232,44,-103,-77
0.007802,37,-158,8259,38,-103,5
0.007941,6,-138,8329,38,-39,-13
0.00808,13,-74,8317,63,-71,-39
0.00822,61,-150,8362,38,-84,-26
0.008359,32,-117,8373,19,-39,-13
0.008498,47,-104,8322,82,-65,-20
0.008638,63,-152,8289,6,-90,-20
0.008777,22,-158,8283,56,-39,-32
0.008916,17,-140,8286,82,-84,-58
0.009055,-4,-165,8366,0,-52,37
0.009195,-22,-111,8325,63,-77,-64
0.009334,14,-109,8361,75,-90,5
0.009473,54,-160,8312,44,-52,-77
0.009613,12,-127,8330,6,-77,12
0.009752,-13,-112,8320,56,-77,-20
0.009891,-3,-140,8296,38,-71,-7
0.010035,-3,-107,8376,50,-77,-45
0.010173,16,-125,8322,12,-52,5
0.010312,2,-114,8298,94,-116,-64
0.010448,52,-138,8309,12,-46,-13
0.010588,44,-146,8249,38,-71,18
0.010727,35,-155,8290,69,-71,-58
0.010867,-10,-130,8326,25,-33,12
0.011007,20,-130,8270,50,-97,-51
0.011145,48,-156,8291,50,-52,-7
0.011284,-18,-197,8307,38,-97,-32
0.011424,-47,-179,8308,44,-77,-7
0.011563,-19,-144,8309,44,-58,-13
0.011702,24,-97,8250,25,-71,-45
0.011841,35,-118,8357,50,-84,-26
0.011981,14,-109,8327,56,-58,-13
0.01212,3,-171,8324,12,-84,-45
0.012259,15,-162,8269,38,-71,5
0.012399,34,-149,8259,44,-65,-39
0.012538,38,-88,8293,94,-90,5
0.012677,9,-133,8327,25,-46,-70
0.012818,43,-160,8356,6,-103,31
0.012958,17,-120,8282,56,-46,-39
0.013095,6,-93,8223,88,-122,-70
0.013235,5,-104,8263,25,-39,12
0.013374,15,-138,8288,19,-58,-20
0.013514,56,-130,8321,50,-109,-20
0.013653,50,-117,8331,25,-46,-26
0.013792,32,-88,8308,56,-46,-32
0.013931,99,-105,8343,56,-71,-7
0.014071,19,-159,8303,25,-71,-13
0.014211,1,-122,8202,69,-71,-70
0.014349,18,-112,8365,19,-65,31
