X(mm),Y(mm),Z(mm)
0.0,0.0,0.0
0.0,0.097035,0.0
0.0,0.19407,0.0
0.0,0.291104,0.0
0.0,0.388139,0.0
0.0,0.485174,0.0
0.0,0.582209,0.0
0.0,0.679243,0.0
0.0,0.776278,0.0
0.0,0.873313,0.0
0.0,0.970348,0.0
0.0,1.067382,0.0
0.0,1.164417,0.0
0.0,1.261452,0.0
0.0,1.358487,0.0
0.0,1.455522,0.0
0.0,1.552556,0.0
0.0,1.649591,0.0
0.0,1.746626,0.0
0.0,1.843661,0.0
0.0,1.940695,0.0
0.0,2.03773,0.0
0.0,2.134765,0.0
0.0,2.2318,0.0
0.0,2.328835,0.0
0.0,2.425869,0.0
0.0,2.522904,0.0
0.0,2.619939,0.0
0.0,2.716974,0.0
0.0,2.814008,0.0
0.0,2.911043,0.0
0.0,3.008078,0.0
0.0,3.105113,0.0
0.0,3.202147,0.0
0.0,3.299182,0.0
0.0,3.396217,0.0
0.0,3.493252,0.0
0.0,3.590287,0.0
0.0,3.687321,0.0
0.0,3.784356,0.0
0.0,3.881391,0.0
0.0,3.978426,0.0
0.0,4.07546,0.0
0.0,4.172495,0.0
0.0,4.26953,0.0
0.0,4.366565,0.0
0.0,4.463599,0.0
0.0,4.560634,0.0
0.0,4.657669,0.0
0.0,4.754704,0.0
0.0,4.851739,0.0
0.0,4.948773,0.0
0.0,5.045808,0.0
0.0,5.142843,0.0
0.0,5.239878,0.0
0.0,5.336912,0.0
0.0,5.433947,0.0
0.0,5.530982,0.0
0.0,5.628017,0.0
0.0,5.725052,0.0
0.0,5.822086,0.0
0.0,5.919121,0.0
0.0,6.016156,0.0
0.0,6.113191,0.0
0.0,6.210225,0.0
0.0,6.30726,0.0
0.0,6.404295,0.0
0.0,6.50133,0.0
0.0,6.598364,0.0
0.0,6.695399,0.0
0.0,6.792434,0.0
0.0,6.889469,0.0
0.0,6.986504,0.0
0.0,7.083538,0.0
0.0,7.180573,0.0
0.0,7.277608,0.0
0.0,7.374643,0.0
0.0,7.471677,0.0
0.0,7.568712,0.0
0.0,7.665747,0.0
0.0,7.762782,0.0
0.0,7.859816,0.0
0.0,7.956851,0.0
0.0,8.053886,0.0
0.0,8.150921,0.0
0.0,8.247956,0.0
0.0,8.34499,0.0
0.0,8.442025,0.0
0.0,8.53906,0.0
0.0,8.636095,0.0
0.0,8.733129,0.0
0.0,8.830164,0.0
0.0,8.927199,0.0
0.0,9.024234,0.0
0.0,9.121269,0.0
0.0,9.218303,0.0
0.0,9.315338,0.0
0.0,9.412373,0.0
0.0,9.509408,0.0
0.0,9.606442,0.0
0.0,9.703477,0.0
0.0,9.800512,0.0
0.0,9.897547,0.0
0.0,9.994581,0.0
0.0,10.091616,0.0
0.0,10.188651,0.0
0.0,10.285686,0.0
0.0,10.382721,0.0
0.0,10.479755,0.0
0.0,10.57679,0.0
0.0,10.673825,0.0
0.0,10.77086,0.0
0.0,10.867894,0.0
0.0,10.964929,0.0
0.0,11.061964,0.0
0.0,11.158999,0.0
0.0,11.256033,0.0
0.0,11.353068,0.0
0.0,11.450103,0.0
0.0,11.547138,0.0
0.0,11.644173,0.0
0.0,11.741207,0.0
0.0,11.838242,0.0
0.0,11.935277,0.0
0.0,12.032312,0.0
0.0,12.129346,0.0
0.0,12.226381,0.0
0.0,12.323416,0.0
0.0,12.420451,0.0
0.0,12.517486,0.0
0.0,12.61452,0.0
0.0,12.711555,0.0
0.0,12.80859,0.0
0.0,12.905625,0.0
0.0,13.002659,0.0
0.0,13.099694,0.0
0.0,13.196729,0.0
0.0,13.293764,0.0
0.0,13.390798,0.0
0.0,13.487833,0.0
0.0,13.584868,0.0
0.0,13.681903,0.0
0.0,13.778938,0.0
0.0,13.875972,0.0
0.0,13.973007,0.0
0.0,14.070042,0.0
0.0,14.167077,0.0
0.0,14.264111,0.0
0.0,14.361146,0.0
0.0,14.458181,0.0
0.0,14.555216,0.0
0.0,14.65225,0.0
0.0,14.749285,0.0
0.0,14.84632,0.0
0.0,14.943355,0.0
0.0,15.04039,0.0
0.0,15.137424,0.0
0.0,15.234459,0.0
0.0,15.331494,0.0
0.0,15.428529,0.0
0.0,15.525563,0.0
0.0,15.622598,0.0
0.0,15.719633,0.0
0.0,15.816668,0.0
0.0,15.913703,0.0
0.0,16.010737,0.0
0.0,16.107772,0.0
0.0,16.204807,0.0
0.0,16.301842,0.0
0.0,16.398876,0.0
0.0,16.495911,0.0
0.0,16.592946,0.0
0.0,16.689981,0.0
0.0,16.787015,0.0
0.0,16.88405,0.0
0.0,16.981085,0.0
0.0,17.07812,0.0
0.0,17.175155,0.0
0.0,17.272189,0.0
0.0,17.369224,0.0
