X(mm),Y(mm),Z(mm)
0.0,0.0,0.0
0.0,0.098544,0.0
0.0,0.197087,0.0
0.0,0.295631,0.0
0.0,0.394174,0.0
0.0,0.492718,0.0
0.0,0.591261,0.0
0.0,0.689805,0.0
0.0,0.788349,0.0
0.0,0.886892,0.0
0.0,0.985436,0.0
0.0,1.083979,0.0
0.0,1.182523,0.0
0.0,1.281067,0.0
0.0,1.37961,0.0
0.0,1.478154,0.0
0.0,1.576697,0.0
0.0,1.675241,0.0
0.0,1.773784,0.0
0.0,1.872328,0.0
0.0,1.970872,0.0
0.0,2.069415,0.0
0.0,2.167959,0.0
0.0,2.266502,0.0
0.0,2.365046,0.0
0.0,2.463589,0.0
0.0,2.562133,0.0
0.0,2.660677,0.0
0.0,2.75922,0.0
0.0,2.857764,0.0
0.0,2.956307,0.0
0.0,3.054851,0.0
0.0,3.153394,0.0
0.0,3.251938,0.0
0.0,3.350482,0.0
0.0,3.449025,0.0
0.0,3.547569,0.0
0.0,3.646112,0.0
0.0,3.744656,0.0
0.0,3.8432,0.0
0.0,3.941743,0.0
0.0,4.040287,0.0
0.0,4.13883,0.0
0.0,4.237374,0.0
0.0,4.335917,0.0
0.0,4.434461,0.0
0.0,4.533005,0.0
0.0,4.631548,0.0
0.0,4.730092,0.0
0.0,4.828635,0.0
0.0,4.927179,0.0
0.0,5.025722,0.0
0.0,5.124266,0.0
0.0,5.22281,0.0
0.0,5.321353,0.0
0.0,5.419897,0.0
0.0,5.51844,0.0
0.0,5.616984,0.0
0.0,5.715528,0.0
0.0,5.814071,0.0
0.0,5.912615,0.0
0.0,6.011158,0.0
0.0,6.109702,0.0
0.0,6.208245,0.0
0.0,6.306789,0.0
0.0,6.405333,0.0
0.0,6.503876,0.0
0.0,6.60242,0.0
0.0,6.700963,0.0
0.0,6.799507,0.0
0.0,6.89805,0.0
0.0,6.996594,0.0
0.0,7.095138,0.0
0.0,7.193681,0.0
0.0,7.292225,0.0
0.0,7.390768,0.0
0.0,7.489312,0.0
0.0,7.587855,0.0
0.0,7.686399,0.0
0.0,7.784943,0.0
0.0,7.883486,0.0
0.0,7.98203,0.0
0.0,8.080573,0.0
0.0,8.179117,0.0
0.0,8.277661,0.0
0.0,8.376204,0.0
0.0,8.474748,0.0
0.0,8.573291,0.0
0.0,8.671835,0.0
0.0,8.770378,0.0
0.0,8.868922,0.0
0.0,8.967466,0.0
0.0,9.066009,0.0
0.0,9.164553,0.0
0.0,9.263096,0.0
0.0,9.36164,0.0
0.0,9.460183,0.0
0.0,9.558727,0.0
0.0,9.657271,0.0
0.0,9.755814,0.0
0.0,9.854358,0.0
0.0,9.952901,0.0
0.0,10.051445,0.0
0.0,10.149989,0.0
0.0,10.248532,0.0
0.0,10.347076,0.0
0.0,10.445619,0.0
0.0,10.544163,0.0
0.0,10.642706,0.0
0.0,10.74125,0.0
0.0,10.839794,0.0
0.0,10.938337,0.0
0.0,11.036881,0.0
0.0,11.135424,0.0
0.0,11.233968,0.0
0.0,11.332511,0.0
0.0,11.431055,0.0
0.0,11.529599,0.0
0.0,11.628142,0.0
0.0,11.726686,0.0
0.0,11.825229,0.0
0.0,11.923773,0.0
0.0,12.022316,0.0
0.0,12.12086,0.0
0.0,12.219404,0.0
0.0,12.317947,0.0
0.0,12.416491,0.0
0.0,12.515034,0.0
0.0,12.613578,0.0
0.0,12.712122,0.0
0.0,12.810665,0.0
0.0,12.909209,0.0
0.0,13.007752,0.0
0.0,13.106296,0.0
0.0,13.204839,0.0
0.0,13.303383,0.0
0.0,13.401927,0.0
0.0,13.50047,0.0
0.0,13.599014,0.0
0.0,13.697557,0.0
0.0,13.796101,0.0
0.0,13.894644,0.0
0.0,13.993188,0.0
0.0,14.091732,0.0
0.0,14.190275,0.0
0.0,14.288819,0.0
0.0,14.387362,0.0
0.0,14.485906,0.0
0.0,14.58445,0.0
0.0,14.682993,0.0
0.0,14.781537,0.0
0.0,14.88008,0.0
0.0,14.978624,0.0
0.0,15.077167,0.0
0.0,15.175711,0.0
0.0,15.274255,0.0
0.0,15.372798,0.0
0.0,15.471342,0.0
0.0,15.569885,0.0
0.0,15.668429,0.0
0.0,15.766972,0.0
0.0,15.865516,0.0
0.0,15.96406,0.0
0.0,16.062603,0.0
0.0,16.161147,0.0
0.0,16.25969,0.0
0.0,16.358234,0.0
0.0,16.456777,0.0
0.0,16.555321,0.0
0.0,16.653865,0.0
0.0,16.752408,0.0
0.0,16.850952,0.0
0.0,16.949495,0.0
0.0,17.048039,0.0
0.0,17.146583,0.0
0.0,17.245126,0.0
0.0,17.34367,0.0
0.0,17.442213,0.0
0.0,17.540757,0.0
0.0,17.6393,0.0
0.0,17.737844,0.0
0.0,17.836388,0.0
0.0,17.934931,0.0
0.0,18.033475,0.0
0.0,18.132018,0.0
0.0,18.230562,0.0
0.0,18.329105,0.0
0.0,18.427649,0.0
0.0,18.526193,0.0
0.0,18.624736,0.0
0.0,18.72328,0.0
0.0,18.821823,0.0
0.0,18.920367,0.0
0.0,19.018911,0.0
0.0,19.117454,0.0
0.0,19.215998,0.0
0.0,19.314541,0.0
0.0,19.413085,0.0
0.0,19.511628,0.0
0.0,19.610172,0.0
0.0,19.708716,0.0
0.0,19.807259,0.0
0.0,19.905803,0.0
0.0,20.004346,0.0
0.0,20.10289,0.0
0.0,20.201433,0.0
0.0,20.299977,0.0
