Date,2026-05-06 23:14:50
Duration (s),2.6400
Comment,straight up and stop

X,Y,Z,w,x,y,z,T
3.3816,0.4633,-1.4067,32.7080,1.3860,1.4080,0.0520,23420595
3.3814,0.4632,-1.4110,32.7060,1.3720,1.4380,0.0260,23420613
3.3812,0.4632,-1.4155,32.7060,1.3540,1.4660,0.0120,23420631
3.3804,0.4635,-1.4247,32.7040,1.3720,1.5100,-0.0040,23420668
3.3802,0.4636,-1.4265,32.7000,1.4000,1.5360,-0.0160,23420686
3.3801,0.4637,-1.4265,32.6980,1.4200,1.5620,-0.0180,23420704
3.3801,0.4635,-1.4265,32.6960,1.4560,1.6080,-0.0140,23420741
3.3801,0.4634,-1.4265,32.6960,1.4560,1.5740,-0.0140,23420759
3.3800,0.4632,-1.4265,32.7000,1.4460,1.5300,-0.0180,23420777
3.3798,0.4629,-1.4268,32.7000,1.4600,1.4960,-0.0380,23420813
3.3795,0.4628,-1.4272,32.7000,1.4660,1.4880,-0.0380,23420832
3.3792,0.4628,-1.4276,32.7000,1.4660,1.4980,-0.0300,23420850
3.3788,0.4627,-1.4288,32.7000,1.4580,1.5220,-0.0120,23420886
3.3788,0.4627,-1.4288,32.7000,1.4500,1.5300,-0.0060,23420904
3.3788,0.4627,-1.4288,32.7000,1.4260,1.5200,0.0080,23420923
3.3788,0.4627,-1.4292,32.7020,1.4000,1.5140,0.0280,23420959
3.3788,0.4626,-1.4294,32.7020,1.3920,1.5240,0.0340,23420977
3.3788,0.4626,-1.4294,32.7020,1.3840,1.5160,0.0440,23420995
3.3788,0.4626,-1.4296,32.7040,1.3680,1.5060,0.0520,23421014
3.3788,0.4622,-1.4299,32.7040,1.3560,1.4900,0.0300,23421050
3.3788,0.4621,-1.4301,32.7080,1.3300,1.4500,0.0300,23421068
3.3787,0.4621,-1.4304,32.7100,1.3020,1.4280,0.0340,23421086
3.3788,0.4618,-1.4310,32.7100,1.3000,1.4260,0.0080,23421123
3.3788,0.4616,-1.4312,32.7120,1.2800,1.3920,-0.0040,23421141
3.3788,0.4614,-1.4312,32.7140,1.2640,1.3760,-0.0120,23421159
3.3789,0.4613,-1.4312,32.7120,1.2700,1.4040,-0.0400,23421196
3.3790,0.4613,-1.4310,32.7120,1.2560,1.4020,-0.0500,23421214
3.3792,0.4613,-1.4308,32.7140,1.2380,1.3980,-0.0520,23421232
3.3793,0.4615,-1.4301,32.7140,1.2320,1.3880,-0.0500,23421269
3.3793,0.4616,-1.4299,32.7160,1.2100,1.3640,-0.0380,23421287
3.3793,0.4616,-1.4300,32.7180,1.1900,1.3520,-0.0340,23421305
3.3792,0.4616,-1.4302,32.7180,1.2080,1.3380,-0.0280,23421341
3.3792,0.4616,-1.4302,32.7180,1.1940,1.3300,-0.0240,23421360
