Date,2026-05-06 23:14:15
Duration (s),3.5490
Comment,Still

X,Y,Z,w,x,y,z,T
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23385523
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23385559
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23385578
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23385596
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23385632
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23385650
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23385669
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23385705
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23385723
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23385741
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23385778
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23385796
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23385814
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7380,23385851
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23385869
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23385887
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7380,23385923
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7380,23385942
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7380,23385960
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7380,23385996
3.3841,0.4613,-1.4458,32.7580,0.0120,0.3180,0.7380,23386014
3.3841,0.4613,-1.4458,32.7580,0.0120,0.3180,0.7380,23386033
3.3841,0.4613,-1.4458,32.7580,0.0120,0.3180,0.7380,23386069
3.3841,0.4613,-1.4458,32.7580,0.0120,0.3180,0.7380,23386087
3.3841,0.4613,-1.4458,32.7580,0.0120,0.3180,0.7380,23386105
3.3841,0.4613,-1.4458,32.7580,0.0120,0.3180,0.7380,23386142
3.3841,0.4613,-1.4458,32.7580,0.0120,0.3180,0.7380,23386160
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7380,23386178
3.3841,0.4613,-1.4458,32.7580,0.0120,0.3180,0.7380,23386196
3.3841,0.4613,-1.4458,32.7580,0.0120,0.3180,0.7380,23386233
3.3841,0.4613,-1.4458,32.7580,0.0120,0.3180,0.7380,23386251
3.3841,0.4613,-1.4458,32.7580,0.0120,0.3180,0.7380,23386269
3.3841,0.4613,-1.4458,32.7580,0.0120,0.3180,0.7380,23386306
3.3841,0.4613,-1.4458,32.7580,0.0120,0.3180,0.7380,23386324
3.3841,0.4613,-1.4458,32.7580,0.0120,0.3180,0.7380,23386342
3.3841,0.4613,-1.4458,32.7580,0.0120,0.3180,0.7380,23386378
3.3841,0.4613,-1.4458,32.7580,0.0120,0.3180,0.7380,23386397
3.3841,0.4613,-1.4458,32.7580,0.0120,0.3180,0.7380,23386415
3.3841,0.4613,-1.4458,32.7580,0.0120,0.3180,0.7380,23386451
3.3841,0.4613,-1.4458,32.7580,0.0120,0.3180,0.7380,23386469
3.3841,0.4613,-1.4458,32.7580,0.0120,0.3180,0.7380,23386488
3.3841,0.4613,-1.4458,32.7580,0.0120,0.3180,0.7380,23386524
3.3841,0.4613,-1.4458,32.7580,0.0120,0.3180,0.7380,23386542
3.3841,0.4613,-1.4458,32.7580,0.0120,0.3180,0.7380,23386560
3.3841,0.4613,-1.4458,32.7580,0.0120,0.3180,0.7380,23386597
3.3841,0.4613,-1.4458,32.7580,0.0120,0.3180,0.7380,23386615
3.3841,0.4613,-1.4458,32.7580,0.0120,0.3180,0.7380,23386633
3.3841,0.4613,-1.4458,32.7580,0.0120,0.3180,0.7380,23386670
3.3841,0.4613,-1.4458,32.7580,0.0120,0.3180,0.7380,23386688
3.3841,0.4613,-1.4458,32.7580,0.0120,0.3180,0.7380,23386706
3.3841,0.4613,-1.4458,32.7580,0.0120,0.3180,0.7380,23386742
3.3841,0.4613,-1.4458,32.7580,0.0120,0.3180,0.7380,23386761
3.3841,0.4613,-1.4458,32.7580,0.0120,0.3180,0.7380,23386779
3.3841,0.4613,-1.4458,32.7580,0.0120,0.3180,0.7380,23386815
3.3841,0.4613,-1.4458,32.7580,0.0120,0.3180,0.7380,23386833
3.3841,0.4613,-1.4458,32.7580,0.0120,0.3180,0.7380,23386852
3.3841,0.4613,-1.4458,32.7580,0.0120,0.3180,0.7380,23386888
3.3841,0.4613,-1.4458,32.7580,0.0120,0.3180,0.7380,23386906
3.3841,0.4613,-1.4458,32.7580,0.0120,0.3180,0.7380,23386924
3.3841,0.4613,-1.4458,32.7580,0.0140,0.3180,0.7380,23386961
3.3841,0.4613,-1.4458,32.7580,0.0140,0.3180,0.7380,23386979
3.3841,0.4613,-1.4458,32.7580,0.0140,0.3180,0.7380,23386997
3.3841,0.4613,-1.4458,32.7580,0.0140,0.3180,0.7400,23387015
3.3841,0.4613,-1.4458,32.7580,0.0140,0.3180,0.7380,23387052
3.3841,0.4613,-1.4458,32.7580,0.0140,0.3200,0.7380,23387070
3.3841,0.4613,-1.4458,32.7580,0.0140,0.3200,0.7380,23387088
3.3841,0.4613,-1.4458,32.7580,0.0140,0.3180,0.7400,23387125
3.3841,0.4613,-1.4458,32.7580,0.0140,0.3180,0.7380,23387143
3.3841,0.4613,-1.4458,32.7580,0.0120,0.3200,0.7400,23387161
3.3841,0.4613,-1.4457,32.7580,0.0120,0.3200,0.7400,23387197
