Date,2026-05-06 23:15:04
Duration (s),2.1660
Comment,straight up with 90 deg rotation

X,Y,Z,w,x,y,z,T
3.4963,0.4929,-1.7996,24.7860,4.1980,-21.0160,0.0760,23434719
3.5028,0.4937,-1.8093,24.7960,4.1900,-21.0060,0.0800,23434737
3.5094,0.4947,-1.8155,24.7920,4.1740,-21.0140,0.0980,23434755
3.5233,0.4965,-1.8156,24.8060,4.1380,-21.0040,0.1500,23434791
3.5305,0.4974,-1.8156,24.8060,4.1560,-21.0000,0.1160,23434810
3.5378,0.4985,-1.8155,24.8120,4.1900,-20.9860,0.1180,23434828
3.5531,0.4991,-1.8156,24.8360,4.2020,-20.9540,0.1600,23434864
3.5609,0.4991,-1.8156,24.8300,4.2140,-20.9600,0.1280,23434882
3.5688,0.4992,-1.8156,24.8020,4.2160,-20.9940,0.1300,23434901
3.5855,0.4995,-1.8156,24.8060,4.2180,-20.9880,0.1480,23434937
3.5940,0.4997,-1.8156,24.7980,4.2100,-21.0000,0.1040,23434955
3.6027,0.5000,-1.8157,24.7680,4.2160,-21.0340,0.0880,23434973
3.6208,0.5007,-1.8160,24.7380,4.2560,-21.0620,0.0680,23435010
3.6302,0.5012,-1.8163,24.7180,4.2780,-21.0800,0.0700,23435028
