Date,2026-05-07 00:02:29
Duration (s),5.4420
Comment,"table square (X/Y, eyeballed)"

X,Y,Z,w,x,y,z,T
-0.0112,0.0706,0.0177,32.7600,0.0980,0.3220,-0.5660,753302
-0.0140,0.0706,0.0178,32.7600,0.0980,0.3260,-0.5540,753320
-0.0170,0.0704,0.0179,32.7600,0.0980,0.3320,-0.5480,753338
-0.0201,0.0703,0.0179,32.7600,0.0980,0.3340,-0.5280,753356
-0.0267,0.0700,0.0181,32.7600,0.0980,0.3440,-0.5180,753393
-0.0301,0.0697,0.0181,32.7620,0.1000,0.3460,-0.4940,753411
-0.0336,0.0694,0.0182,32.7620,0.1000,0.3500,-0.4560,753429
-0.0406,0.0686,0.0184,32.7620,0.1020,0.3600,-0.4060,753465
-0.0440,0.0683,0.0185,32.7620,0.1040,0.3620,-0.3460,753484
-0.0473,0.0681,0.0186,32.7640,0.1060,0.3640,-0.2520,753502
-0.0538,0.0680,0.0187,32.7640,0.1120,0.3680,-0.0620,753538
-0.0570,0.0678,0.0188,32.7640,0.1140,0.3700,-0.0300,753556
-0.0603,0.0676,0.0189,32.7640,0.1160,0.3740,-0.0140,753575
-0.0665,0.0674,0.0190,32.7640,0.1180,0.3780,0.0100,753611
-0.0695,0.0674,0.0190,32.7640,0.1200,0.3800,0.0300,753629
-0.0752,0.0672,0.0190,32.7640,0.1180,0.3820,-0.0440,753666
-0.0779,0.0670,0.0190,32.7640,0.1180,0.3860,-0.0600,753684
-0.0806,0.0670,0.0190,32.7640,0.1200,0.3860,-0.0760,753702
-0.0858,0.0667,0.0190,32.7640,0.1200,0.3840,-0.1220,753738
-0.0883,0.0666,0.0190,32.7640,0.1220,0.3860,-0.1360,753757
-0.0908,0.0665,0.0190,32.7640,0.1220,0.3840,-0.1480,753775
-0.0955,0.0665,0.0190,32.7640,0.1240,0.3800,-0.1480,753811
-0.0976,0.0665,0.0190,32.7640,0.1240,0.3800,-0.1600,753829
-0.0997,0.0665,0.0190,32.7640,0.1260,0.3800,-0.1720,753848
-0.1018,0.0665,0.0190,32.7640,0.1260,0.3780,-0.1940,753866
-0.1055,0.0667,0.0190,32.7640,0.1280,0.3740,-0.2120,753902
-0.1070,0.0667,0.0190,32.7640,0.1280,0.3740,-0.2140,753920
-0.1094,0.0668,0.0189,32.7640,0.1280,0.3660,-0.2360,753957
-0.1101,0.0669,0.0189,32.7640,0.1300,0.3600,-0.2160,753975
-0.1105,0.0670,0.0189,32.7640,0.1300,0.3560,-0.2100,753993
-0.1105,0.0671,0.0189,32.7640,0.1300,0.3500,-0.2160,754030
-0.1104,0.0671,0.0189,32.7640,0.1280,0.3500,-0.2160,754048
-0.1104,0.0671,0.0189,32.7640,0.1300,0.3500,-0.2180,754066
-0.1104,0.0671,0.0189,32.7640,0.1300,0.3500,-0.2180,754084
-0.1104,0.0671,0.0189,32.7640,0.1300,0.3500,-0.2180,754121
-0.1104,0.0671,0.0189,32.7640,0.1300,0.3500,-0.2180,754139
-0.1104,0.0671,0.0189,32.7640,0.1300,0.3500,-0.2180,754175
-0.1104,0.0671,0.0189,32.7640,0.1300,0.3520,-0.2180,754193
-0.1104,0.0670,0.0189,32.7640,0.1300,0.3500,-0.2200,754212
-0.1105,0.0664,0.0189,32.7640,0.1240,0.3520,-0.3060,754248
